Id,spx-1950-2018,len,datetime,open,high,low,close,volume,openinterest,MomentumStrategy,len,datetime,MACD,len,macd,signal,CrossOver,len,crossover,CrossDown,len,cross,ATR,len,atr,SMA,len,sma,Broker,len,cash,value,BuySell,len,buy,sell,Trades,len,pnlplus,pnlminus
1,spx-1950-2018,1,2009-01-02 23:59:59.999989,902.99,934.73,899.35,931.8,4048270000.0,0.0,MomentumStrategy,1,733409.9999999999,MACD,1,,,CrossOver,1,,CrossDown,1,,ATR,1,,SMA,1,,Broker,1,100000.0,100000.0,BuySell,1,,,Trades,1,,
2,spx-1950-2018,2,2009-01-05 23:59:59.999989,929.17,936.63,919.53,927.45,5413910000.0,0.0,MomentumStrategy,2,733412.9999999999,MACD,2,,,CrossOver,2,,CrossDown,2,,ATR,2,,SMA,2,,Broker,2,100000.0,100000.0,BuySell,2,,,Trades,2,,
3,spx-1950-2018,3,2009-01-06 23:59:59.999989,931.17,943.85,927.28,934.7,5392620000.0,0.0,MomentumStrategy,3,733413.9999999999,MACD,3,,,CrossOver,3,,CrossDown,3,,ATR,3,,SMA,3,,Broker,3,100000.0,100000.0,BuySell,3,,,Trades,3,,
4,spx-1950-2018,4,2009-01-07 23:59:59.999989,927.45,927.45,902.37,906.65,4704940000.0,0.0,MomentumStrategy,4,733414.9999999999,MACD,4,,,CrossOver,4,,CrossDown,4,,ATR,4,,SMA,4,,Broker,4,100000.0,100000.0,BuySell,4,,,Trades,4,,
5,spx-1950-2018,5,2009-01-08 23:59:59.999989,905.73,910.0,896.81,909.73,4991550000.0,0.0,MomentumStrategy,5,733415.9999999999,MACD,5,,,CrossOver,5,,CrossDown,5,,ATR,5,,SMA,5,,Broker,5,100000.0,100000.0,BuySell,5,,,Trades,5,,
6,spx-1950-2018,6,2009-01-09 23:59:59.999989,909.91,911.93,888.31,890.35,4716500000.0,0.0,MomentumStrategy,6,733416.9999999999,MACD,6,,,CrossOver,6,,CrossDown,6,,ATR,6,,SMA,6,,Broker,6,100000.0,100000.0,BuySell,6,,,Trades,6,,
7,spx-1950-2018,7,2009-01-12 23:59:59.999989,890.4,890.4,864.32,870.26,4725050000.0,0.0,MomentumStrategy,7,733419.9999999999,MACD,7,,,CrossOver,7,,CrossDown,7,,ATR,7,,SMA,7,,Broker,7,100000.0,100000.0,BuySell,7,,,Trades,7,,
8,spx-1950-2018,8,2009-01-13 23:59:59.999989,869.79,877.02,862.02,871.79,5567460000.0,0.0,MomentumStrategy,8,733420.9999999999,MACD,8,,,CrossOver,8,,CrossDown,8,,ATR,8,,SMA,8,,Broker,8,100000.0,100000.0,BuySell,8,,,Trades,8,,
9,spx-1950-2018,9,2009-01-14 23:59:59.999989,867.28,867.28,836.93,842.62,5407880000.0,0.0,MomentumStrategy,9,733421.9999999999,MACD,9,,,CrossOver,9,,CrossDown,9,,ATR,9,,SMA,9,,Broker,9,100000.0,100000.0,BuySell,9,,,Trades,9,,
10,spx-1950-2018,10,2009-01-15 23:59:59.999989,841.99,851.59,817.04,843.74,7807350000.0,0.0,MomentumStrategy,10,733422.9999999999,MACD,10,,,CrossOver,10,,CrossDown,10,,ATR,10,,SMA,10,,Broker,10,100000.0,100000.0,BuySell,10,,,Trades,10,,
