datetime.1,Id,stockpx,len,datetime,open,high,low,close,volume,openinterest,stockpx_lag_1,len.1,open.1,high.1,low.1,close.1,volume.1,openinterest.1,stockpx_lag_2,len.2,datetime.2,open.2,high.2,low.2,close.2,volume.2,openinterest.2,stockpx_lag_3,len.3,datetime.3,open.3,high.3,low.3,close.3,volume.3,openinterest.3,stockpx_lag_4,len.4,datetime.4,open.4,high.4,low.4,close.4,volume.4,openinterest.4,stockpx_lag_5,len.5,datetime.5,open.5,high.5,low.5,close.5,volume.5,openinterest.5,straddle,len.6,datetime.6,open.6,high.6,low.6,close.6,volume.6,openinterest.6,TestStrategy,len.7,datetime.7,PSAR,len.8,psar,SMA_Crossup_50_200,len.9,sma_up_50_200,SMA_Crossdown_50_200,len.10,sma_down_50_200,SMA_Crossup_5_30,len.11,sma_up_5_30,SMA_Crossdown_5_30,len.12,sma_down_5_30,EMA_Crossup_12_26,len.13,ema_up_12_26,EMA_Crossdown_12_26,len.14,ema_down_12_26,MACD_Crossup,len.15,macd_up,MACD_Crossdown,len.16,macd_down,DEMA_CrossUp_21_55,len.17,dema_up_21_55,DEMA_CrossDown_21_55,len.18,dema_down_21_55,Broker,len.19,cash,value,BuySell,len.20,buy,sell,BuySell.1,len.21,buy.1,sell.1,BuySell.2,len.22,buy.2,sell.2,BuySell.3,len.23,buy.3,sell.3,BuySell.4,len.24,buy.4,sell.4,BuySell.5,len.25,buy.5,sell.5,BuySell.6,len.26,buy.6,sell.6,DataTrades,len.27,stockpx.1,stockpx_lag_1.1,stockpx_lag_2.1,stockpx_lag_3.1,stockpx_lag_4.1,stockpx_lag_5.1,straddle.1,Straddle Value,Total Premium Paid,Value including Premium
2010-01-04,1,stockpx,1,2010-01-04 00:00:00,,17.200001,16.879998999999998,17.1,16587400.0,,stockpx_lag_1,1.0,,,,17.23,,,stockpx_lag_2,1.0,2010-01-04 00:00:00,,,,17.17,,,stockpx_lag_3,1.0,2010-01-04 00:00:00,,,,16.700001,,,stockpx_lag_4,1.0,2010-01-04 00:00:00,,,,16.700001,,,stockpx_lag_5,1.0,2010-01-04 00:00:00,,,,16.74,,,straddle,1.0,2010-01-04 00:00:00,,,,0.5365515025164314,,,TestStrategy,1.0,733776.0,PSAR,1.0,,SMA_Crossup_50_200,1.0,,SMA_Crossdown_50_200,1.0,,SMA_Crossup_5_30,1.0,,SMA_Crossdown_5_30,1.0,,EMA_Crossup_12_26,1.0,,EMA_Crossdown_12_26,1.0,,MACD_Crossup,1.0,,MACD_Crossdown,1.0,,DEMA_CrossUp_21_55,1.0,,DEMA_CrossDown_21_55,1.0,,Broker,1.0,100000.0,100000.0,BuySell,1.0,,,BuySell,1.0,,,BuySell,1.0,,,BuySell,1.0,,,BuySell,1.0,,,BuySell,1.0,,,BuySell,1.0,,,DataTrades,1.0,,,,,,,,0.0,0.0,100000.0
2010-01-05,2,stockpx,2,2010-01-05 00:00:00,,17.23,17.0,17.23,11718100.0,,stockpx_lag_1,2.0,,,,17.17,,,stockpx_lag_2,2.0,2010-01-05 00:00:00,,,,16.700001,,,stockpx_lag_3,2.0,2010-01-05 00:00:00,,,,16.700001,,,stockpx_lag_4,2.0,2010-01-05 00:00:00,,,,16.74,,,stockpx_lag_5,2.0,2010-01-05 00:00:00,,,,16.68,,,straddle,2.0,2010-01-05 00:00:00,,,,0.5760809821116428,,,TestStrategy,2.0,733777.0,PSAR,2.0,16.879998999999998,SMA_Crossup_50_200,2.0,,SMA_Crossdown_50_200,2.0,,SMA_Crossup_5_30,2.0,,SMA_Crossdown_5_30,2.0,,EMA_Crossup_12_26,2.0,,EMA_Crossdown_12_26,2.0,,MACD_Crossup,2.0,,MACD_Crossdown,2.0,,DEMA_CrossUp_21_55,2.0,,DEMA_CrossDown_21_55,2.0,,Broker,2.0,100000.0,100000.0,BuySell,2.0,,,BuySell,2.0,,,BuySell,2.0,,,BuySell,2.0,,,BuySell,2.0,,,BuySell,2.0,,,BuySell,2.0,,,DataTrades,2.0,,,,,,,,0.0,0.0,100000.0
2010-01-06,3,stockpx,3,2010-01-06 00:00:00,,17.299999,17.07,17.17,16422000.0,,stockpx_lag_1,3.0,,,,16.700001,,,stockpx_lag_2,3.0,2010-01-06 00:00:00,,,,16.700001,,,stockpx_lag_3,3.0,2010-01-06 00:00:00,,,,16.74,,,stockpx_lag_4,3.0,2010-01-06 00:00:00,,,,16.68,,,stockpx_lag_5,3.0,2010-01-06 00:00:00,,,,16.9,,,straddle,3.0,2010-01-06 00:00:00,,,,0.5589093329072234,,,TestStrategy,3.0,733778.0,PSAR,3.0,16.879998999999998,SMA_Crossup_50_200,3.0,,SMA_Crossdown_50_200,3.0,,SMA_Crossup_5_30,3.0,,SMA_Crossdown_5_30,3.0,,EMA_Crossup_12_26,3.0,,EMA_Crossdown_12_26,3.0,,MACD_Crossup,3.0,,MACD_Crossdown,3.0,,DEMA_CrossUp_21_55,3.0,,DEMA_CrossDown_21_55,3.0,,Broker,3.0,100000.0,100000.0,BuySell,3.0,,,BuySell,3.0,,,BuySell,3.0,,,BuySell,3.0,,,BuySell,3.0,,,BuySell,3.0,,,BuySell,3.0,,,DataTrades,3.0,,,,,,,,0.0,0.0,100000.0
2010-01-07,4,stockpx,4,2010-01-07 00:00:00,,16.9,16.57,16.700001,31816300.0,,stockpx_lag_1,4.0,,,,16.700001,,,stockpx_lag_2,4.0,2010-01-07 00:00:00,,,,16.74,,,stockpx_lag_3,4.0,2010-01-07 00:00:00,,,,16.68,,,stockpx_lag_4,4.0,2010-01-07 00:00:00,,,,16.9,,,stockpx_lag_5,4.0,2010-01-07 00:00:00,,,,17.120001000000002,,,straddle,4.0,2010-01-07 00:00:00,,,,0.553888841126847,,,TestStrategy,4.0,733779.0,PSAR,4.0,17.299999,SMA_Crossup_50_200,4.0,,SMA_Crossdown_50_200,4.0,,SMA_Crossup_5_30,4.0,,SMA_Crossdown_5_30,4.0,,EMA_Crossup_12_26,4.0,,EMA_Crossdown_12_26,4.0,,MACD_Crossup,4.0,,MACD_Crossdown,4.0,,DEMA_CrossUp_21_55,4.0,,DEMA_CrossDown_21_55,4.0,,Broker,4.0,100000.0,100000.0,BuySell,4.0,,,BuySell,4.0,,,BuySell,4.0,,,BuySell,4.0,,,BuySell,4.0,,,BuySell,4.0,,,BuySell,4.0,,,DataTrades,4.0,,,,,,,,0.0,0.0,100000.0
2010-01-08,5,stockpx,5,2010-01-08 00:00:00,,16.76,16.620001000000002,16.700001,15470000.0,,stockpx_lag_1,5.0,,,,16.74,,,stockpx_lag_2,5.0,2010-01-08 00:00:00,,,,16.68,,,stockpx_lag_3,5.0,2010-01-08 00:00:00,,,,16.9,,,stockpx_lag_4,5.0,2010-01-08 00:00:00,,,,17.120001000000002,,,stockpx_lag_5,5.0,2010-01-08 00:00:00,,,,16.82,,,straddle,5.0,2010-01-08 00:00:00,,,,0.5282473297250068,,,TestStrategy,5.0,733780.0,PSAR,5.0,17.299999,SMA_Crossup_50_200,5.0,,SMA_Crossdown_50_200,5.0,,SMA_Crossup_5_30,5.0,,SMA_Crossdown_5_30,5.0,,EMA_Crossup_12_26,5.0,,EMA_Crossdown_12_26,5.0,,MACD_Crossup,5.0,,MACD_Crossdown,5.0,,DEMA_CrossUp_21_55,5.0,,DEMA_CrossDown_21_55,5.0,,Broker,5.0,100000.0,100000.0,BuySell,5.0,,,BuySell,5.0,,,BuySell,5.0,,,BuySell,5.0,,,BuySell,5.0,,,BuySell,5.0,,,BuySell,5.0,,,DataTrades,5.0,,,,,,,,0.0,0.0,100000.0
2010-01-11,6,stockpx,6,2010-01-11 00:00:00,,16.83,16.48,16.74,16181900.0,,stockpx_lag_1,6.0,,,,16.68,,,stockpx_lag_2,6.0,2010-01-11 00:00:00,,,,16.9,,,stockpx_lag_3,6.0,2010-01-11 00:00:00,,,,17.120001000000002,,,stockpx_lag_4,6.0,2010-01-11 00:00:00,,,,16.82,,,stockpx_lag_5,6.0,2010-01-11 00:00:00,,,,16.75,,,straddle,6.0,2010-01-11 00:00:00,,,,0.5727970386764643,,,TestStrategy,6.0,733783.0,PSAR,6.0,17.28539902,SMA_Crossup_50_200,6.0,,SMA_Crossdown_50_200,6.0,,SMA_Crossup_5_30,6.0,,SMA_Crossdown_5_30,6.0,,EMA_Crossup_12_26,6.0,,EMA_Crossdown_12_26,6.0,,MACD_Crossup,6.0,,MACD_Crossdown,6.0,,DEMA_CrossUp_21_55,6.0,,DEMA_CrossDown_21_55,6.0,,Broker,6.0,100000.0,100000.0,BuySell,6.0,,,BuySell,6.0,,,BuySell,6.0,,,BuySell,6.0,,,BuySell,6.0,,,BuySell,6.0,,,BuySell,6.0,,,DataTrades,6.0,,,,,,,,0.0,0.0,100000.0
2010-01-12,7,stockpx,7,2010-01-12 00:00:00,,16.860001,16.6,16.68,15672400.0,,stockpx_lag_1,7.0,,,,16.9,,,stockpx_lag_2,7.0,2010-01-12 00:00:00,,,,17.120001000000002,,,stockpx_lag_3,7.0,2010-01-12 00:00:00,,,,16.82,,,stockpx_lag_4,7.0,2010-01-12 00:00:00,,,,16.75,,,stockpx_lag_5,7.0,2010-01-12 00:00:00,,,,16.379998999999998,,,straddle,7.0,2010-01-12 00:00:00,,,,0.5679408804519372,,,TestStrategy,7.0,733784.0,PSAR,7.0,17.124319216,SMA_Crossup_50_200,7.0,,SMA_Crossdown_50_200,7.0,,SMA_Crossup_5_30,7.0,,SMA_Crossdown_5_30,7.0,,EMA_Crossup_12_26,7.0,,EMA_Crossdown_12_26,7.0,,MACD_Crossup,7.0,,MACD_Crossdown,7.0,,DEMA_CrossUp_21_55,7.0,,DEMA_CrossDown_21_55,7.0,,Broker,7.0,100000.0,100000.0,BuySell,7.0,,,BuySell,7.0,,,BuySell,7.0,,,BuySell,7.0,,,BuySell,7.0,,,BuySell,7.0,,,BuySell,7.0,,,DataTrades,7.0,,,,,,,,0.0,0.0,100000.0
2010-01-13,8,stockpx,8,2010-01-13 00:00:00,,16.98,16.65,16.9,16955600.0,,stockpx_lag_1,8.0,,,,17.120001000000002,,,stockpx_lag_2,8.0,2010-01-13 00:00:00,,,,16.82,,,stockpx_lag_3,8.0,2010-01-13 00:00:00,,,,16.75,,,stockpx_lag_4,8.0,2010-01-13 00:00:00,,,,16.379998999999998,,,stockpx_lag_5,8.0,2010-01-13 00:00:00,,,,16.200001,,,straddle,8.0,2010-01-13 00:00:00,,,,0.5760830215869568,,,TestStrategy,8.0,733785.0,PSAR,8.0,16.9954553728,SMA_Crossup_50_200,8.0,,SMA_Crossdown_50_200,8.0,,SMA_Crossup_5_30,8.0,,SMA_Crossdown_5_30,8.0,,EMA_Crossup_12_26,8.0,,EMA_Crossdown_12_26,8.0,,MACD_Crossup,8.0,,MACD_Crossdown,8.0,,DEMA_CrossUp_21_55,8.0,,DEMA_CrossDown_21_55,8.0,,Broker,8.0,100000.0,100000.0,BuySell,8.0,,,BuySell,8.0,,,BuySell,8.0,,,BuySell,8.0,,,BuySell,8.0,,,BuySell,8.0,,,BuySell,8.0,,,DataTrades,8.0,,,,,,,,0.0,0.0,100000.0
2010-01-14,9,stockpx,9,2010-01-14 00:00:00,,17.23,16.799999,17.120001000000002,16715600.0,,stockpx_lag_1,9.0,,,,16.82,,,stockpx_lag_2,9.0,2010-01-14 00:00:00,,,,16.75,,,stockpx_lag_3,9.0,2010-01-14 00:00:00,,,,16.379998999999998,,,stockpx_lag_4,9.0,2010-01-14 00:00:00,,,,16.200001,,,stockpx_lag_5,9.0,2010-01-14 00:00:00,,,,15.88,,,straddle,9.0,2010-01-14 00:00:00,,,,0.5440639784777428,,,TestStrategy,9.0,733786.0,PSAR,9.0,16.48,SMA_Crossup_50_200,9.0,,SMA_Crossdown_50_200,9.0,,SMA_Crossup_5_30,9.0,,SMA_Crossdown_5_30,9.0,,EMA_Crossup_12_26,9.0,,EMA_Crossdown_12_26,9.0,,MACD_Crossup,9.0,,MACD_Crossdown,9.0,,DEMA_CrossUp_21_55,9.0,,DEMA_CrossDown_21_55,9.0,,Broker,9.0,100000.0,100000.0,BuySell,9.0,,,BuySell,9.0,,,BuySell,9.0,,,BuySell,9.0,,,BuySell,9.0,,,BuySell,9.0,,,BuySell,9.0,,,DataTrades,9.0,,,,,,,,0.0,0.0,100000.0
2010-01-15,10,stockpx,10,2010-01-15 00:00:00,,17.25,16.75,16.82,18415000.0,,stockpx_lag_1,10.0,,,,16.75,,,stockpx_lag_2,10.0,2010-01-15 00:00:00,,,,16.379998999999998,,,stockpx_lag_3,10.0,2010-01-15 00:00:00,,,,16.200001,,,stockpx_lag_4,10.0,2010-01-15 00:00:00,,,,15.88,,,stockpx_lag_5,10.0,2010-01-15 00:00:00,,,,15.86,,,straddle,10.0,2010-01-15 00:00:00,,,,0.5033971423406172,,,TestStrategy,10.0,733787.0,PSAR,10.0,16.495,SMA_Crossup_50_200,10.0,,SMA_Crossdown_50_200,10.0,,SMA_Crossup_5_30,10.0,,SMA_Crossdown_5_30,10.0,,EMA_Crossup_12_26,10.0,,EMA_Crossdown_12_26,10.0,,MACD_Crossup,10.0,,MACD_Crossdown,10.0,,DEMA_CrossUp_21_55,10.0,,DEMA_CrossDown_21_55,10.0,,Broker,10.0,100000.0,100000.0,BuySell,10.0,,,BuySell,10.0,,,BuySell,10.0,,,BuySell,10.0,,,BuySell,10.0,,,BuySell,10.0,,,BuySell,10.0,,,DataTrades,10.0,,,,,,,,0.0,0.0,100000.0
