Id,10dORHV,len,datetime,open,high,low,close,volume,openinterest,stockpx,len,datetime,open,high,low,close,volume,openinterest,HVStrategy,len,datetime,RSI_Oversold,len,oversold,RSI_Overbought,len,overbought,Broker,len,cash,value,BuySell,len,buy,sell,BuySell,len,buy,sell,DataTrades,len,10dORHV,stockpx
1,10dORHV,1,2010-01-04 00:00:00,,,,15.67,,,stockpx,1,2010-01-04 00:00:00,,,,30.95,,,HVStrategy,1,733776.0,RSI_Oversold,1,,RSI_Overbought,1,,Broker,1,100000.0,100000.0,BuySell,1,,,BuySell,1,,,DataTrades,1,,
2,10dORHV,2,2010-01-05 00:00:00,,,,12.79,,,stockpx,2,2010-01-05 00:00:00,,,,30.93,,,HVStrategy,2,733777.0,RSI_Oversold,2,,RSI_Overbought,2,,Broker,2,100000.0,100000.0,BuySell,2,,,BuySell,2,,,DataTrades,2,,
3,10dORHV,3,2010-01-06 00:00:00,,,,12.7,,,stockpx,3,2010-01-06 00:00:00,,,,30.75,,,HVStrategy,3,733778.0,RSI_Oversold,3,,RSI_Overbought,3,,Broker,3,100000.0,100000.0,BuySell,3,,,BuySell,3,,,DataTrades,3,,
4,10dORHV,4,2010-01-07 00:00:00,,,,12.97,,,stockpx,4,2010-01-07 00:00:00,,,,30.45,,,HVStrategy,4,733779.0,RSI_Oversold,4,,RSI_Overbought,4,,Broker,4,100000.0,100000.0,BuySell,4,,,BuySell,4,,,DataTrades,4,,
5,10dORHV,5,2010-01-08 00:00:00,,,,13.25,,,stockpx,5,2010-01-08 00:00:00,,,,30.68,,,HVStrategy,5,733780.0,RSI_Oversold,5,,RSI_Overbought,5,,Broker,5,100000.0,100000.0,BuySell,5,,,BuySell,5,,,DataTrades,5,,
6,10dORHV,6,2010-01-11 00:00:00,,,,13.67,,,stockpx,6,2010-01-11 00:00:00,,,,30.24,,,HVStrategy,6,733783.0,RSI_Oversold,6,,RSI_Overbought,6,,Broker,6,100000.0,100000.0,BuySell,6,,,BuySell,6,,,DataTrades,6,,
7,10dORHV,7,2010-01-12 00:00:00,,,,13.56,,,stockpx,7,2010-01-12 00:00:00,,,,30.03,,,HVStrategy,7,733784.0,RSI_Oversold,7,,RSI_Overbought,7,,Broker,7,100000.0,100000.0,BuySell,7,,,BuySell,7,,,DataTrades,7,,
8,10dORHV,8,2010-01-13 00:00:00,,,,14.22,,,stockpx,8,2010-01-13 00:00:00,,,,30.37,,,HVStrategy,8,733785.0,RSI_Oversold,8,,RSI_Overbought,8,,Broker,8,100000.0,100000.0,BuySell,8,,,BuySell,8,,,DataTrades,8,,
9,10dORHV,9,2010-01-14 00:00:00,,,,15.09,,,stockpx,9,2010-01-14 00:00:00,,,,31.01,,,HVStrategy,9,733786.0,RSI_Oversold,9,,RSI_Overbought,9,,Broker,9,100000.0,100000.0,BuySell,9,,,BuySell,9,,,DataTrades,9,,
10,10dORHV,10,2010-01-15 00:00:00,,,,13.88,,,stockpx,10,2010-01-15 00:00:00,,,,30.9,,,HVStrategy,10,733787.0,RSI_Oversold,10,,RSI_Overbought,10,,Broker,10,100000.0,100000.0,BuySell,10,,,BuySell,10,,,DataTrades,10,,
11,10dORHV,11,2010-01-19 00:00:00,,,,13.43,,,stockpx,11,2010-01-19 00:00:00,,,,31.1,,,HVStrategy,11,733791.0,RSI_Oversold,11,,RSI_Overbought,11,,Broker,11,100000.0,100000.0,BuySell,11,,,BuySell,11,,,DataTrades,11,,
12,10dORHV,12,2010-01-20 00:00:00,,,,14.07,,,stockpx,12,2010-01-20 00:00:00,,,,30.61,,,HVStrategy,12,733792.0,RSI_Oversold,12,,RSI_Overbought,12,,Broker,12,100000.0,100000.0,BuySell,12,,,BuySell,12,,,DataTrades,12,,
13,10dORHV,13,2010-01-21 00:00:00,,,,14.12,,,stockpx,13,2010-01-21 00:00:00,,,,30.06,,,HVStrategy,13,733793.0,RSI_Oversold,13,,RSI_Overbought,13,,Broker,13,100000.0,100000.0,BuySell,13,,,BuySell,13,,,DataTrades,13,,
14,10dORHV,14,2010-01-22 00:00:00,,,,19.1,,,stockpx,14,2010-01-22 00:00:00,,,,28.95,,,HVStrategy,14,733794.0,RSI_Oversold,14,,RSI_Overbought,14,,Broker,14,100000.0,100000.0,BuySell,14,,,BuySell,14,,,DataTrades,14,,
15,10dORHV,15,2010-01-25 00:00:00,,,,22.73,,,stockpx,15,2010-01-25 00:00:00,,,,29.37,,,HVStrategy,15,733797.0,RSI_Oversold,15,0.0,RSI_Overbought,15,,Broker,15,100000.0,100000.0,BuySell,15,,,BuySell,15,,,DataTrades,15,,
16,10dORHV,16,2010-01-26 00:00:00,,,,24.31,,,stockpx,16,2010-01-26 00:00:00,,,,29.55,,,HVStrategy,16,733798.0,RSI_Oversold,16,0.0,RSI_Overbought,16,,Broker,16,100000.0,100000.0,BuySell,16,,,BuySell,16,,,DataTrades,16,,
17,10dORHV,17,2010-01-27 00:00:00,,,,24.46,,,stockpx,17,2010-01-27 00:00:00,,,,29.7,,,HVStrategy,17,733799.0,RSI_Oversold,17,0.0,RSI_Overbought,17,,Broker,17,100000.0,100000.0,BuySell,17,,,BuySell,17,,,DataTrades,17,,
18,10dORHV,18,2010-01-28 00:00:00,,,,25.95,,,stockpx,18,2010-01-28 00:00:00,,,,29.29,,,HVStrategy,18,733800.0,RSI_Oversold,18,0.0,RSI_Overbought,18,,Broker,18,100000.0,100000.0,BuySell,18,,,BuySell,18,,,DataTrades,18,,
19,10dORHV,19,2010-01-29 00:00:00,,,,30.8,,,stockpx,19,2010-01-29 00:00:00,,,,28.12,,,HVStrategy,19,733801.0,RSI_Oversold,19,1.0,RSI_Overbought,19,,Broker,19,100000.0,100000.0,BuySell,19,,,BuySell,19,,,DataTrades,19,,
20,10dORHV,20,2010-02-01 00:00:00,,,,31.89,,,stockpx,20,2010-02-01 00:00:00,,,,28.37,,,HVStrategy,20,733804.0,RSI_Oversold,20,0.0,RSI_Overbought,20,,Broker,20,99968.07811,99999.96811,BuySell,20,31.89,,BuySell,20,,,DataTrades,20,,
21,10dORHV,21,2010-02-02 00:00:00,,,,31.77,,,stockpx,21,2010-02-02 00:00:00,,,,28.47,,,HVStrategy,21,733805.0,RSI_Oversold,21,0.0,RSI_Overbought,21,,Broker,21,99968.07811,99999.84811,BuySell,21,,,BuySell,21,,,DataTrades,21,,
22,10dORHV,22,2010-02-03 00:00:00,,,,31.69,,,stockpx,22,2010-02-03 00:00:00,,,,28.61,,,HVStrategy,22,733806.0,RSI_Oversold,22,0.0,RSI_Overbought,22,,Broker,22,99968.07811,99999.76811,BuySell,22,,,BuySell,22,,,DataTrades,22,,
23,10dORHV,23,2010-02-04 00:00:00,,,,33.48,,,stockpx,23,2010-02-04 00:00:00,,,,27.86,,,HVStrategy,23,733807.0,RSI_Oversold,23,0.0,RSI_Overbought,23,,Broker,23,100001.52463,100001.52463,BuySell,23,,33.48,BuySell,23,,,DataTrades,23,1.5899999999999963,
24,10dORHV,24,2010-02-05 00:00:00,,,,30.69,,,stockpx,24,2010-02-05 00:00:00,,,,28.01,,,HVStrategy,24,733808.0,RSI_Oversold,24,0.0,RSI_Overbought,24,,Broker,24,100001.52463,100001.52463,BuySell,24,,,BuySell,24,,,DataTrades,24,,
25,10dORHV,25,2010-02-08 00:00:00,,,,27.97,,,stockpx,25,2010-02-08 00:00:00,,,,27.72,,,HVStrategy,25,733811.0,RSI_Oversold,25,0.0,RSI_Overbought,25,,Broker,25,100001.52463,100001.52463,BuySell,25,,,BuySell,25,,,DataTrades,25,,
26,10dORHV,26,2010-02-09 00:00:00,,,,26.55,,,stockpx,26,2010-02-09 00:00:00,,,,28.02,,,HVStrategy,26,733812.0,RSI_Oversold,26,0.0,RSI_Overbought,26,,Broker,26,100001.52463,100001.52463,BuySell,26,,,BuySell,26,,,DataTrades,26,,
27,10dORHV,27,2010-02-10 00:00:00,,,,26.58,,,stockpx,27,2010-02-10 00:00:00,,,,27.97,,,HVStrategy,27,733813.0,RSI_Oversold,27,0.0,RSI_Overbought,27,,Broker,27,100001.52463,100001.52463,BuySell,27,,,BuySell,27,,,DataTrades,27,,
28,10dORHV,28,2010-02-11 00:00:00,,,,24.63,,,stockpx,28,2010-02-11 00:00:00,,,,28.13,,,HVStrategy,28,733814.0,RSI_Oversold,28,0.0,RSI_Overbought,28,,Broker,28,100001.52463,100001.52463,BuySell,28,,,BuySell,28,,,DataTrades,28,,
29,10dORHV,29,2010-02-12 00:00:00,,,,17.93,,,stockpx,29,2010-02-12 00:00:00,,,,27.95,,,HVStrategy,29,733815.0,RSI_Oversold,29,0.0,RSI_Overbought,29,,Broker,29,100001.52463,100001.52463,BuySell,29,,,BuySell,29,,,DataTrades,29,,
30,10dORHV,30,2010-02-16 00:00:00,,,,17.18,,,stockpx,30,2010-02-16 00:00:00,,,,28.35,,,HVStrategy,30,733819.0,RSI_Oversold,30,0.0,RSI_Overbought,30,,Broker,30,100001.52463,100001.52463,BuySell,30,,,BuySell,30,,,DataTrades,30,,
31,10dORHV,31,2010-02-17 00:00:00,,,,17.39,,,stockpx,31,2010-02-17 00:00:00,,,,28.61,,,HVStrategy,31,733820.0,RSI_Oversold,31,0.0,RSI_Overbought,31,,Broker,31,100001.52463,100001.52463,BuySell,31,,,BuySell,31,,,DataTrades,31,,
32,10dORHV,32,2010-02-18 00:00:00,,,,17.82,,,stockpx,32,2010-02-18 00:00:00,,,,28.97,,,HVStrategy,32,733821.0,RSI_Oversold,32,0.0,RSI_Overbought,32,,Broker,32,100001.52463,100001.52463,BuySell,32,,,BuySell,32,,,DataTrades,32,,
33,10dORHV,33,2010-02-19 00:00:00,,,,14.15,,,stockpx,33,2010-02-19 00:00:00,,,,28.78,,,HVStrategy,33,733822.0,RSI_Oversold,33,0.0,RSI_Overbought,33,,Broker,33,100001.52463,100001.52463,BuySell,33,,,BuySell,33,,,DataTrades,33,,
34,10dORHV,34,2010-02-22 00:00:00,,,,14.07,,,stockpx,34,2010-02-22 00:00:00,,,,28.73,,,HVStrategy,34,733825.0,RSI_Oversold,34,0.0,RSI_Overbought,34,,Broker,34,100001.52463,100001.52463,BuySell,34,,,BuySell,34,,,DataTrades,34,,
35,10dORHV,35,2010-02-23 00:00:00,,,,17.06,,,stockpx,35,2010-02-23 00:00:00,,,,28.34,,,HVStrategy,35,733826.0,RSI_Oversold,35,0.0,RSI_Overbought,35,,Broker,35,100001.52463,100001.52463,BuySell,35,,,BuySell,35,,,DataTrades,35,,
36,10dORHV,36,2010-02-24 00:00:00,,,,17.29,,,stockpx,36,2010-02-24 00:00:00,,,,28.64,,,HVStrategy,36,733827.0,RSI_Oversold,36,0.0,RSI_Overbought,36,,Broker,36,100001.52463,100001.52463,BuySell,36,,,BuySell,36,,,DataTrades,36,,
37,10dORHV,37,2010-02-25 00:00:00,,,,17.47,,,stockpx,37,2010-02-25 00:00:00,,,,28.61,,,HVStrategy,37,733828.0,RSI_Oversold,37,0.0,RSI_Overbought,37,,Broker,37,100001.52463,100001.52463,BuySell,37,,,BuySell,37,,,DataTrades,37,,
38,10dORHV,38,2010-02-26 00:00:00,,,,17.39,,,stockpx,38,2010-02-26 00:00:00,,,,28.67,,,HVStrategy,38,733829.0,RSI_Oversold,38,0.0,RSI_Overbought,38,,Broker,38,100001.52463,100001.52463,BuySell,38,,,BuySell,38,,,DataTrades,38,,
39,10dORHV,39,2010-03-01 00:00:00,,,,17.3,,,stockpx,39,2010-03-01 00:00:00,,,,28.96,,,HVStrategy,39,733832.0,RSI_Oversold,39,0.0,RSI_Overbought,39,,Broker,39,100001.52463,100001.52463,BuySell,39,,,BuySell,39,,,DataTrades,39,,
40,10dORHV,40,2010-03-02 00:00:00,,,,18.61,,,stockpx,40,2010-03-02 00:00:00,,,,28.44,,,HVStrategy,40,733833.0,RSI_Oversold,40,0.0,RSI_Overbought,40,,Broker,40,100001.52463,100001.52463,BuySell,40,,,BuySell,40,,,DataTrades,40,,
41,10dORHV,41,2010-03-03 00:00:00,,,,18.12,,,stockpx,41,2010-03-03 00:00:00,,,,28.47,,,HVStrategy,41,733834.0,RSI_Oversold,41,0.0,RSI_Overbought,41,,Broker,41,100001.52463,100001.52463,BuySell,41,,,BuySell,41,,,DataTrades,41,,
42,10dORHV,42,2010-03-04 00:00:00,,,,17.53,,,stockpx,42,2010-03-04 00:00:00,,,,28.56,,,HVStrategy,42,733835.0,RSI_Oversold,42,0.0,RSI_Overbought,42,,Broker,42,100001.52463,100001.52463,BuySell,42,,,BuySell,42,,,DataTrades,42,,
43,10dORHV,43,2010-03-05 00:00:00,,,,17.86,,,stockpx,43,2010-03-05 00:00:00,,,,28.58,,,HVStrategy,43,733836.0,RSI_Oversold,43,0.0,RSI_Overbought,43,,Broker,43,100001.52463,100001.52463,BuySell,43,,,BuySell,43,,,DataTrades,43,,
44,10dORHV,44,2010-03-08 00:00:00,,,,17.59,,,stockpx,44,2010-03-08 00:00:00,,,,28.66,,,HVStrategy,44,733839.0,RSI_Oversold,44,0.0,RSI_Overbought,44,,Broker,44,100001.52463,100001.52463,BuySell,44,,,BuySell,44,,,DataTrades,44,,
45,10dORHV,45,2010-03-09 00:00:00,,,,14.89,,,stockpx,45,2010-03-09 00:00:00,,,,28.79,,,HVStrategy,45,733840.0,RSI_Oversold,45,0.0,RSI_Overbought,45,,Broker,45,100001.52463,100001.52463,BuySell,45,,,BuySell,45,,,DataTrades,45,,
46,10dORHV,46,2010-03-10 00:00:00,,,,14.6,,,stockpx,46,2010-03-10 00:00:00,,,,28.97,,,HVStrategy,46,733841.0,RSI_Oversold,46,0.0,RSI_Overbought,46,,Broker,46,100001.52463,100001.52463,BuySell,46,,,BuySell,46,,,DataTrades,46,,
47,10dORHV,47,2010-03-11 00:00:00,,,,14.69,,,stockpx,47,2010-03-11 00:00:00,,,,29.16,,,HVStrategy,47,733842.0,RSI_Oversold,47,0.0,RSI_Overbought,47,,Broker,47,100001.52463,100001.52463,BuySell,47,,,BuySell,47,,,DataTrades,47,,
48,10dORHV,48,2010-03-12 00:00:00,,,,14.91,,,stockpx,48,2010-03-12 00:00:00,,,,29.28,,,HVStrategy,48,733843.0,RSI_Oversold,48,0.0,RSI_Overbought,48,,Broker,48,100001.52463,100001.52463,BuySell,48,,,BuySell,48,,,DataTrades,48,,
49,10dORHV,49,2010-03-15 00:00:00,,,,14.18,,,stockpx,49,2010-03-15 00:00:00,,,,29.28,,,HVStrategy,49,733846.0,RSI_Oversold,49,0.0,RSI_Overbought,49,,Broker,49,100001.52463,100001.52463,BuySell,49,,,BuySell,49,,,DataTrades,49,,
