Id,10dORHV,len,datetime,open,high,low,close,volume,openinterest,stockpx,len,datetime,open,high,low,close,volume,openinterest,HVStrategy,len,datetime,RSI,len,rsi,rsi_OB_70,rsi_OS_30,LRSI,len,lrsi,lrsi_OB_07,lrsi_OS_03,TSI,len,tsi,tsi_pos,tsi_neg,Broker,len,cash,value,BuySell,len,buy,sell,BuySell,len,buy,sell,DataTrades,len,10dORHV,stockpx
1,10dORHV,1,1/4/10 0:00,,,,20.07,,,stockpx,1,1/4/10 0:00,,,,214.31,,,HVStrategy,1,733776,RSI,1,,,,LRSI,1,,,,TSI,1,,,,Broker,1,100000,100000,BuySell,1,,,BuySell,1,,,DataTrades,1,,
2,10dORHV,2,1/5/10 0:00,,,,19.46,,,stockpx,2,1/5/10 0:00,,,,214.27,,,HVStrategy,2,733777,RSI,2,,,,LRSI,2,,,,TSI,2,,,,Broker,2,100000,100000,BuySell,2,,,BuySell,2,,,DataTrades,2,,
3,10dORHV,3,1/6/10 0:00,,,,19.81,,,stockpx,3,1/6/10 0:00,,,,210.84,,,HVStrategy,3,733778,RSI,3,,,,LRSI,3,,,,TSI,3,,,,Broker,3,100000,100000,BuySell,3,,,BuySell,3,,,DataTrades,3,,
4,10dORHV,4,1/7/10 0:00,,,,19.77,,,stockpx,4,1/7/10 0:00,,,,210.42,,,HVStrategy,4,733779,RSI,4,,,,LRSI,4,,,,TSI,4,,,,Broker,4,100000,100000,BuySell,4,,,BuySell,4,,,DataTrades,4,,
5,10dORHV,5,1/8/10 0:00,,,,19.92,,,stockpx,5,1/8/10 0:00,,,,211.83,,,HVStrategy,5,733780,RSI,5,,,,LRSI,5,,,,TSI,5,,,,Broker,5,100000,100000,BuySell,5,,,BuySell,5,,,DataTrades,5,,
6,10dORHV,6,1/11/10 0:00,,,,18.77,,,stockpx,6,1/11/10 0:00,,,,210.23,,,HVStrategy,6,733783,RSI,6,,,,LRSI,6,0.714285714,1,0,TSI,6,,,,Broker,6,100000,100000,BuySell,6,,,BuySell,6,,,DataTrades,6,,
7,10dORHV,7,1/12/10 0:00,,,,18.67,,,stockpx,7,1/12/10 0:00,,,,207.33,,,HVStrategy,7,733784,RSI,7,,,,LRSI,7,0.711747043,1,0,TSI,7,,,,Broker,7,100000,100000,BuySell,7,,,BuySell,7,,,DataTrades,7,,
8,10dORHV,8,1/13/10 0:00,,,,19.64,,,stockpx,8,1/13/10 0:00,,,,210.74,,,HVStrategy,8,733785,RSI,8,,,,LRSI,8,0.803738857,1,0,TSI,8,,,,Broker,8,100000,100000,BuySell,8,,,BuySell,8,,,DataTrades,8,,
9,10dORHV,9,1/14/10 0:00,,,,18.69,,,stockpx,9,1/14/10 0:00,,,,209.42,,,HVStrategy,9,733786,RSI,9,,,,LRSI,9,1,1,0,TSI,9,,,,Broker,9,100000,100000,BuySell,9,,,BuySell,9,,,DataTrades,9,,
10,10dORHV,10,1/15/10 0:00,,,,19.51,,,stockpx,10,1/15/10 0:00,,,,206.01,,,HVStrategy,10,733787,RSI,10,,,,LRSI,10,1,1,0,TSI,10,,,,Broker,10,100000,100000,BuySell,10,,,BuySell,10,,,DataTrades,10,,
11,10dORHV,11,1/19/10 0:00,,,,21.5,,,stockpx,11,1/19/10 0:00,,,,214.97,,,HVStrategy,11,733791,RSI,11,,,,LRSI,11,1,1,0,TSI,11,,,,Broker,11,100000,100000,BuySell,11,,,BuySell,11,,,DataTrades,11,,
12,10dORHV,12,1/20/10 0:00,,,,22.69,,,stockpx,12,1/20/10 0:00,,,,211.94,,,HVStrategy,12,733792,RSI,12,,,,LRSI,12,1,1,0,TSI,12,,,,Broker,12,100000,100000,BuySell,12,,,BuySell,12,,,DataTrades,12,,
13,10dORHV,13,1/21/10 0:00,,,,23.22,,,stockpx,13,1/21/10 0:00,,,,207.92,,,HVStrategy,13,733793,RSI,13,,,,LRSI,13,1,1,0,TSI,13,,,,Broker,13,100000,100000,BuySell,13,,,BuySell,13,,,DataTrades,13,,
14,10dORHV,14,1/22/10 0:00,,,,25.74,,,stockpx,14,1/22/10 0:00,,,,197.94,,,HVStrategy,14,733794,RSI,14,,,,LRSI,14,0.966563276,1,0,TSI,14,,,,Broker,14,100000,100000,BuySell,14,,,BuySell,14,,,DataTrades,14,,
15,10dORHV,15,1/25/10 0:00,,,,28.31,,,stockpx,15,1/25/10 0:00,,,,202.8,,,HVStrategy,15,733797,RSI,15,38.20455011,0,0,LRSI,15,0.970764037,1,0,TSI,15,,,,Broker,15,100000,100000,BuySell,15,,,BuySell,15,,,DataTrades,15,,
16,10dORHV,16,1/26/10 0:00,,,,32.33,,,stockpx,16,1/26/10 0:00,,,,205.87,,,HVStrategy,16,733798,RSI,16,42.12624585,0,0,LRSI,16,1,1,0,TSI,16,,,,Broker,16,100000,100000,BuySell,16,,,BuySell,16,,,DataTrades,16,,
17,10dORHV,17,1/27/10 0:00,,,,33.6,,,stockpx,17,1/27/10 0:00,,,,208.27,,,HVStrategy,17,733799,RSI,17,45.06153871,0,0,LRSI,17,1,1,0,TSI,17,,,,Broker,17,100000,100000,BuySell,17,,,BuySell,17,,,DataTrades,17,,
18,10dORHV,18,1/28/10 0:00,,,,33.78,,,stockpx,18,1/28/10 0:00,,,,199.22,,,HVStrategy,18,733800,RSI,18,37.3655682,0,0,LRSI,18,0.82821432,1,0,TSI,18,,,,Broker,18,100000,100000,BuySell,18,,,BuySell,18,,,DataTrades,18,,
19,10dORHV,19,1/29/10 0:00,,,,35.66,,,stockpx,19,1/29/10 0:00,,,,192.66,,,HVStrategy,19,733801,RSI,19,32.96998887,0,0,LRSI,19,0.594667909,0,0,TSI,19,,,,Broker,19,100000,100000,BuySell,19,,,BuySell,19,,,DataTrades,19,,
20,10dORHV,20,2/1/10 0:00,,,,35.21,,,stockpx,20,2/1/10 0:00,,,,194.58,,,HVStrategy,20,733804,RSI,20,35.36652569,0,0,LRSI,20,0.495404399,0,0,TSI,20,,,,Broker,20,100000,100000,BuySell,20,,,BuySell,20,,,DataTrades,20,,
21,10dORHV,21,2/2/10 0:00,,,,34.38,,,stockpx,21,2/2/10 0:00,,,,195.7,,,HVStrategy,21,733805,RSI,21,36.78632618,0,0,LRSI,21,0.31295425,0,0,TSI,21,,,,Broker,21,100000,100000,BuySell,21,,,BuySell,21,,,DataTrades,21,,
22,10dORHV,22,2/3/10 0:00,,,,34.43,,,stockpx,22,2/3/10 0:00,,,,199.47,,,HVStrategy,22,733806,RSI,22,41.44877242,0,0,LRSI,22,0.076527524,0,1,TSI,22,,,,Broker,22,100000,100000,BuySell,22,,,BuySell,22,,,DataTrades,22,,
23,10dORHV,23,2/4/10 0:00,,,,34.76,,,stockpx,23,2/4/10 0:00,,,,192.06,,,HVStrategy,23,733807,RSI,23,35.85155314,0,0,LRSI,23,0,0,1,TSI,23,,,,Broker,23,100000,100000,BuySell,23,,,BuySell,23,,,DataTrades,23,,
24,10dORHV,24,2/5/10 0:00,,,,33.52,,,stockpx,24,2/5/10 0:00,,,,195.63,,,HVStrategy,24,733808,RSI,24,40.05176992,0,0,LRSI,24,0,0,1,TSI,24,,,,Broker,24,100000,100000,BuySell,24,,,BuySell,24,,,DataTrades,24,,
25,10dORHV,25,2/8/10 0:00,,,,31.45,,,stockpx,25,2/8/10 0:00,,,,194.32,,,HVStrategy,25,733811,RSI,25,39.04158526,0,0,LRSI,25,0,0,1,TSI,25,,,,Broker,25,100000,100000,BuySell,25,,,BuySell,25,,,DataTrades,25,,
26,10dORHV,26,2/9/10 0:00,,,,27.32,,,stockpx,26,2/9/10 0:00,,,,196.23,,,HVStrategy,26,733812,RSI,26,41.36374471,0,0,LRSI,26,0.059993955,0,1,TSI,26,,,,Broker,26,100000,100000,BuySell,26,,,BuySell,26,,,DataTrades,26,,
27,10dORHV,27,2/10/10 0:00,,,,25.07,,,stockpx,27,2/10/10 0:00,,,,195.04,,,HVStrategy,27,733813,RSI,27,40.33284711,0,0,LRSI,27,0,0,1,TSI,27,,,,Broker,27,100000,100000,BuySell,27,,,BuySell,27,,,DataTrades,27,,
28,10dORHV,28,2/11/10 0:00,,,,23.97,,,stockpx,28,2/11/10 0:00,,,,198.78,,,HVStrategy,28,733814,RSI,28,44.97446394,0,0,LRSI,28,0.393725346,0,0,TSI,28,,,,Broker,28,100000,100000,BuySell,28,,,BuySell,28,,,DataTrades,28,,
29,10dORHV,29,2/12/10 0:00,,,,21.8,,,stockpx,29,2/12/10 0:00,,,,200.46,,,HVStrategy,29,733815,RSI,29,46.97008139,0,0,LRSI,29,0.554739221,0,0,TSI,29,,,,Broker,29,100000,100000,BuySell,29,,,BuySell,29,,,DataTrades,29,,
30,10dORHV,30,2/16/10 0:00,,,,21.66,,,stockpx,30,2/16/10 0:00,,,,203.43,,,HVStrategy,30,733819,RSI,30,50.395148,0,0,LRSI,30,0.744829484,1,0,TSI,30,,,,Broker,30,100000,100000,BuySell,30,,,BuySell,30,,,DataTrades,30,,
31,10dORHV,31,2/17/10 0:00,,,,20.85,,,stockpx,31,2/17/10 0:00,,,,202.55,,,HVStrategy,31,733820,RSI,31,49.37752185,0,0,LRSI,31,0.78534983,1,0,TSI,31,,,,Broker,31,100000,100000,BuySell,31,,,BuySell,31,,,DataTrades,31,,
32,10dORHV,32,2/18/10 0:00,,,,20.17,,,stockpx,32,2/18/10 0:00,,,,203.04,,,HVStrategy,32,733821,RSI,32,49.9831609,0,0,LRSI,32,1,1,0,TSI,32,,,,Broker,32,100000,100000,BuySell,32,,,BuySell,32,,,DataTrades,32,,
