Id,spx-1950-2018,len,datetime,open,high,low,close,volume,openinterest,RegimeSwitchingStrategy,len,datetime,MACD,len,macd,signal,CrossOver,len,crossover,CrossDown,len,cross,ATR,len,atr,SMA,len,sma,SimpleMovingAverage,len,sma,StdDev,len,stddev,Broker,len,cash,value,BuySell,len,buy,sell,Trades,len,pnlplus,pnlminus
1,spx-1950-2018,1,2014-01-02 23:59:59.999989,1845.86,1845.86,1827.74,1831.98,3080600000.0,0.0,RegimeSwitchingStrategy,1,735235.9999999999,MACD,1,,,CrossOver,1,,CrossDown,1,,ATR,1,,SMA,1,,SimpleMovingAverage,1,,StdDev,1,,Broker,1,100000.0,100000.0,BuySell,1,,,Trades,1,,
2,spx-1950-2018,2,2014-01-03 23:59:59.999989,1833.21,1838.24,1829.13,1831.37,2774270000.0,0.0,RegimeSwitchingStrategy,2,735236.9999999999,MACD,2,,,CrossOver,2,,CrossDown,2,,ATR,2,,SMA,2,,SimpleMovingAverage,2,,StdDev,2,,Broker,2,100000.0,100000.0,BuySell,2,,,Trades,2,,
3,spx-1950-2018,3,2014-01-06 23:59:59.999989,1832.31,1837.16,1823.73,1826.77,3294850000.0,0.0,RegimeSwitchingStrategy,3,735239.9999999999,MACD,3,,,CrossOver,3,,CrossDown,3,,ATR,3,,SMA,3,,SimpleMovingAverage,3,,StdDev,3,,Broker,3,100000.0,100000.0,BuySell,3,,,Trades,3,,
4,spx-1950-2018,4,2014-01-07 23:59:59.999989,1828.71,1840.1,1828.71,1837.88,3511750000.0,0.0,RegimeSwitchingStrategy,4,735240.9999999999,MACD,4,,,CrossOver,4,,CrossDown,4,,ATR,4,,SMA,4,,SimpleMovingAverage,4,,StdDev,4,,Broker,4,100000.0,100000.0,BuySell,4,,,Trades,4,,
5,spx-1950-2018,5,2014-01-08 23:59:59.999989,1837.9,1840.02,1831.4,1837.49,3652140000.0,0.0,RegimeSwitchingStrategy,5,735241.9999999999,MACD,5,,,CrossOver,5,,CrossDown,5,,ATR,5,,SMA,5,,SimpleMovingAverage,5,,StdDev,5,,Broker,5,100000.0,100000.0,BuySell,5,,,Trades,5,,
6,spx-1950-2018,6,2014-01-09 23:59:59.999989,1839.0,1843.23,1830.38,1838.13,3581150000.0,0.0,RegimeSwitchingStrategy,6,735242.9999999999,MACD,6,,,CrossOver,6,,CrossDown,6,,ATR,6,,SMA,6,,SimpleMovingAverage,6,,StdDev,6,,Broker,6,100000.0,100000.0,BuySell,6,,,Trades,6,,
7,spx-1950-2018,7,2014-01-10 23:59:59.999989,1840.06,1843.15,1832.43,1842.37,3335710000.0,0.0,RegimeSwitchingStrategy,7,735243.9999999999,MACD,7,,,CrossOver,7,,CrossDown,7,,ATR,7,,SMA,7,,SimpleMovingAverage,7,,StdDev,7,,Broker,7,100000.0,100000.0,BuySell,7,,,Trades,7,,
8,spx-1950-2018,8,2014-01-13 23:59:59.999989,1841.26,1843.45,1815.52,1819.2,3591350000.0,0.0,RegimeSwitchingStrategy,8,735246.9999999999,MACD,8,,,CrossOver,8,,CrossDown,8,,ATR,8,,SMA,8,,SimpleMovingAverage,8,,StdDev,8,,Broker,8,100000.0,100000.0,BuySell,8,,,Trades,8,,
9,spx-1950-2018,9,2014-01-14 23:59:59.999989,1821.36,1839.26,1821.36,1838.88,3353270000.0,0.0,RegimeSwitchingStrategy,9,735247.9999999999,MACD,9,,,CrossOver,9,,CrossDown,9,,ATR,9,,SMA,9,,SimpleMovingAverage,9,,StdDev,9,,Broker,9,100000.0,100000.0,BuySell,9,,,Trades,9,,
10,spx-1950-2018,10,2014-01-15 23:59:59.999989,1840.52,1850.84,1840.52,1848.38,3777800000.0,0.0,RegimeSwitchingStrategy,10,735248.9999999999,MACD,10,,,CrossOver,10,,CrossDown,10,,ATR,10,,SMA,10,,SimpleMovingAverage,10,,StdDev,10,,Broker,10,100000.0,100000.0,BuySell,10,,,Trades,10,,
11,spx-1950-2018,11,2014-01-16 23:59:59.999989,1847.99,1847.99,1840.3,1845.89,3491310000.0,0.0,RegimeSwitchingStrategy,11,735249.9999999999,MACD,11,,,CrossOver,11,,CrossDown,11,,ATR,11,,SMA,11,,SimpleMovingAverage,11,,StdDev,11,,Broker,11,100000.0,100000.0,BuySell,11,,,Trades,11,,
12,spx-1950-2018,12,2014-01-17 23:59:59.999989,1844.23,1846.04,1835.23,1838.7,3626120000.0,0.0,RegimeSwitchingStrategy,12,735250.9999999999,MACD,12,,,CrossOver,12,,CrossDown,12,,ATR,12,,SMA,12,,SimpleMovingAverage,12,,StdDev,12,,Broker,12,100000.0,100000.0,BuySell,12,,,Trades,12,,
