Id,spx-1950-2018,len,datetime,open,high,low,close,volume,openinterest,MeanReversionStrategy,len,datetime,SimpleMovingAverage,len,sma,StdDev,len,stddev,Broker,len,cash,value,BuySell,len,buy,sell,Trades,len,pnlplus,pnlminus
1,spx-1950-2018,1,2004-01-02 23:59:59.999989,1111.92,1118.85,1105.08,1108.48,1153200000.0,0.0,MeanReversionStrategy,1,731582.9999999999,SimpleMovingAverage,1,,StdDev,1,,Broker,1,100000.0,100000.0,BuySell,1,,,Trades,1,,
2,spx-1950-2018,2,2004-01-05 23:59:59.999989,1108.48,1122.22,1108.48,1122.22,1578200000.0,0.0,MeanReversionStrategy,2,731585.9999999999,SimpleMovingAverage,2,,StdDev,2,,Broker,2,100000.0,100000.0,BuySell,2,,,Trades,2,,
3,spx-1950-2018,3,2004-01-06 23:59:59.999989,1122.22,1124.46,1118.44,1123.67,1494500000.0,0.0,MeanReversionStrategy,3,731586.9999999999,SimpleMovingAverage,3,,StdDev,3,,Broker,3,100000.0,100000.0,BuySell,3,,,Trades,3,,
4,spx-1950-2018,4,2004-01-07 23:59:59.999989,1123.67,1126.33,1116.45,1126.33,1704900000.0,0.0,MeanReversionStrategy,4,731587.9999999999,SimpleMovingAverage,4,,StdDev,4,,Broker,4,100000.0,100000.0,BuySell,4,,,Trades,4,,
5,spx-1950-2018,5,2004-01-08 23:59:59.999989,1126.33,1131.92,1124.91,1131.92,1868400000.0,0.0,MeanReversionStrategy,5,731588.9999999999,SimpleMovingAverage,5,,StdDev,5,,Broker,5,100000.0,100000.0,BuySell,5,,,Trades,5,,
6,spx-1950-2018,6,2004-01-09 23:59:59.999989,1131.92,1131.92,1120.9,1121.86,1720700000.0,0.0,MeanReversionStrategy,6,731589.9999999999,SimpleMovingAverage,6,,StdDev,6,,Broker,6,100000.0,100000.0,BuySell,6,,,Trades,6,,
7,spx-1950-2018,7,2004-01-12 23:59:59.999989,1121.86,1127.85,1120.9,1127.23,1510200000.0,0.0,MeanReversionStrategy,7,731592.9999999999,SimpleMovingAverage,7,,StdDev,7,,Broker,7,100000.0,100000.0,BuySell,7,,,Trades,7,,
8,spx-1950-2018,8,2004-01-13 23:59:59.999989,1127.23,1129.07,1115.19,1121.22,1595900000.0,0.0,MeanReversionStrategy,8,731593.9999999999,SimpleMovingAverage,8,,StdDev,8,,Broker,8,100000.0,100000.0,BuySell,8,,,Trades,8,,
9,spx-1950-2018,9,2004-01-14 23:59:59.999989,1121.22,1130.75,1121.22,1130.52,1514600000.0,0.0,MeanReversionStrategy,9,731594.9999999999,SimpleMovingAverage,9,,StdDev,9,,Broker,9,100000.0,100000.0,BuySell,9,,,Trades,9,,
10,spx-1950-2018,10,2004-01-15 23:59:59.999989,1130.52,1137.11,1124.54,1132.05,1695000000.0,0.0,MeanReversionStrategy,10,731595.9999999999,SimpleMovingAverage,10,,StdDev,10,,Broker,10,100000.0,100000.0,BuySell,10,,,Trades,10,,
11,spx-1950-2018,11,2004-01-16 23:59:59.999989,1132.05,1139.83,1132.05,1139.83,1721100000.0,0.0,MeanReversionStrategy,11,731596.9999999999,SimpleMovingAverage,11,,StdDev,11,,Broker,11,100000.0,100000.0,BuySell,11,,,Trades,11,,
