Id,spx-1950-2018,len,datetime,open,high,low,close,volume,openinterest,MeanReversionStrategy,len,datetime,SimpleMovingAverage,len,sma,StdDev,len,stddev,Broker,len,cash,value,BuySell,len,buy,sell,Trades,len,pnlplus,pnlminus
1,spx-1950-2018,1,2007-01-03 23:59:59.999989,1418.03,1429.42,1407.86,1416.6,3429160000.0,0.0,MeanReversionStrategy,1,732679.9999999999,SimpleMovingAverage,1,,StdDev,1,,Broker,1,100000.0,100000.0,BuySell,1,,,Trades,1,,
2,spx-1950-2018,2,2007-01-04 23:59:59.999989,1416.6,1421.84,1408.43,1418.34,3004460000.0,0.0,MeanReversionStrategy,2,732680.9999999999,SimpleMovingAverage,2,,StdDev,2,,Broker,2,100000.0,100000.0,BuySell,2,,,Trades,2,,
3,spx-1950-2018,3,2007-01-05 23:59:59.999989,1418.34,1418.34,1405.75,1409.71,2919400000.0,0.0,MeanReversionStrategy,3,732681.9999999999,SimpleMovingAverage,3,,StdDev,3,,Broker,3,100000.0,100000.0,BuySell,3,,,Trades,3,,
4,spx-1950-2018,4,2007-01-08 23:59:59.999989,1409.26,1414.98,1403.97,1412.84,2763340000.0,0.0,MeanReversionStrategy,4,732684.9999999999,SimpleMovingAverage,4,,StdDev,4,,Broker,4,100000.0,100000.0,BuySell,4,,,Trades,4,,
5,spx-1950-2018,5,2007-01-09 23:59:59.999989,1412.84,1415.61,1405.42,1412.11,3038380000.0,0.0,MeanReversionStrategy,5,732685.9999999999,SimpleMovingAverage,5,,StdDev,5,,Broker,5,100000.0,100000.0,BuySell,5,,,Trades,5,,
6,spx-1950-2018,6,2007-01-10 23:59:59.999989,1408.7,1415.99,1405.32,1414.85,2764660000.0,0.0,MeanReversionStrategy,6,732686.9999999999,SimpleMovingAverage,6,,StdDev,6,,Broker,6,100000.0,100000.0,BuySell,6,,,Trades,6,,
7,spx-1950-2018,7,2007-01-11 23:59:59.999989,1414.84,1427.12,1414.84,1423.82,2857870000.0,0.0,MeanReversionStrategy,7,732687.9999999999,SimpleMovingAverage,7,,StdDev,7,,Broker,7,100000.0,100000.0,BuySell,7,,,Trades,7,,
8,spx-1950-2018,8,2007-01-12 23:59:59.999989,1423.82,1431.23,1422.58,1430.73,2686480000.0,0.0,MeanReversionStrategy,8,732688.9999999999,SimpleMovingAverage,8,,StdDev,8,,Broker,8,100000.0,100000.0,BuySell,8,,,Trades,8,,
9,spx-1950-2018,9,2007-01-16 23:59:59.999989,1430.73,1433.93,1428.62,1431.9,2599530000.0,0.0,MeanReversionStrategy,9,732692.9999999999,SimpleMovingAverage,9,,StdDev,9,,Broker,9,100000.0,100000.0,BuySell,9,,,Trades,9,,
10,spx-1950-2018,10,2007-01-17 23:59:59.999989,1431.77,1435.27,1428.57,1430.62,2690270000.0,0.0,MeanReversionStrategy,10,732693.9999999999,SimpleMovingAverage,10,,StdDev,10,,Broker,10,100000.0,100000.0,BuySell,10,,,Trades,10,,
11,spx-1950-2018,11,2007-01-18 23:59:59.999989,1430.59,1432.96,1424.21,1426.37,2822430000.0,0.0,MeanReversionStrategy,11,732694.9999999999,SimpleMovingAverage,11,,StdDev,11,,Broker,11,100000.0,100000.0,BuySell,11,,,Trades,11,,
12,spx-1950-2018,12,2007-01-19 23:59:59.999989,1426.35,1431.57,1425.19,1430.5,2777480000.0,0.0,MeanReversionStrategy,12,732695.9999999999,SimpleMovingAverage,12,,StdDev,12,,Broker,12,100000.0,100000.0,BuySell,12,,,Trades,12,,
13,spx-1950-2018,13,2007-01-22 23:59:59.999989,1430.47,1431.39,1420.4,1422.95,2540120000.0,0.0,MeanReversionStrategy,13,732698.9999999999,SimpleMovingAverage,13,,StdDev,13,,Broker,13,100000.0,100000.0,BuySell,13,,,Trades,13,,
14,spx-1950-2018,14,2007-01-23 23:59:59.999989,1422.95,1431.33,1421.66,1427.99,2975070000.0,0.0,MeanReversionStrategy,14,732699.9999999999,SimpleMovingAverage,14,,StdDev,14,,Broker,14,100000.0,100000.0,BuySell,14,,,Trades,14,,
15,spx-1950-2018,15,2007-01-24 23:59:59.999989,1427.96,1440.14,1427.96,1440.13,2783180000.0,0.0,MeanReversionStrategy,15,732700.9999999999,SimpleMovingAverage,15,1423.2973333333332,StdDev,15,8.60178234760989,Broker,15,100000.0,100000.0,BuySell,15,,,Trades,15,,
16,spx-1950-2018,16,2007-01-25 23:59:59.999989,1440.12,1440.69,1422.34,1423.9,2994330000.0,0.0,MeanReversionStrategy,16,732701.9999999999,SimpleMovingAverage,16,1423.7839999999999,StdDev,16,8.413545269404644,Broker,16,109999.93056182428,100112.62872101823,BuySell,16,,1440.12,Trades,16,,
17,spx-1950-2018,17,2007-01-26 23:59:59.999989,1423.9,1427.27,1416.96,1422.18,2626620000.0,0.0,MeanReversionStrategy,17,732702.9999999999,SimpleMovingAverage,17,1424.04,StdDev,17,8.301681757326032,Broker,17,109999.93056182428,100124.57208724212,BuySell,17,,,Trades,17,,
