Id,spx-1950-2018,len,datetime,open,high,low,close,volume,openinterest,MomentumStrategy,len,datetime,MACD,len,macd,signal,CrossOver,len,crossover,CrossDown,len,cross,ATR,len,atr,SMA,len,sma,Broker,len,cash,value,BuySell,len,buy,sell,Trades,len,pnlplus,pnlminus
1,spx-1950-2018,1,2005-01-03 23:59:59.999989,1211.92,1217.8,1200.32,1202.08,1510800000.0,0.0,MomentumStrategy,1,731949.9999999999,MACD,1,,,CrossOver,1,,CrossDown,1,,ATR,1,,SMA,1,,Broker,1,100000.0,100000.0,BuySell,1,,,Trades,1,,
2,spx-1950-2018,2,2005-01-04 23:59:59.999989,1202.08,1205.84,1185.39,1188.05,1721000000.0,0.0,MomentumStrategy,2,731950.9999999999,MACD,2,,,CrossOver,2,,CrossDown,2,,ATR,2,,SMA,2,,Broker,2,100000.0,100000.0,BuySell,2,,,Trades,2,,
3,spx-1950-2018,3,2005-01-05 23:59:59.999989,1188.05,1192.73,1183.72,1183.74,1738900000.0,0.0,MomentumStrategy,3,731951.9999999999,MACD,3,,,CrossOver,3,,CrossDown,3,,ATR,3,,SMA,3,,Broker,3,100000.0,100000.0,BuySell,3,,,Trades,3,,
4,spx-1950-2018,4,2005-01-06 23:59:59.999989,1183.74,1191.63,1183.27,1187.89,1569100000.0,0.0,MomentumStrategy,4,731952.9999999999,MACD,4,,,CrossOver,4,,CrossDown,4,,ATR,4,,SMA,4,,Broker,4,100000.0,100000.0,BuySell,4,,,Trades,4,,
5,spx-1950-2018,5,2005-01-07 23:59:59.999989,1187.89,1192.2,1182.16,1186.19,1477900000.0,0.0,MomentumStrategy,5,731953.9999999999,MACD,5,,,CrossOver,5,,CrossDown,5,,ATR,5,,SMA,5,,Broker,5,100000.0,100000.0,BuySell,5,,,Trades,5,,
6,spx-1950-2018,6,2005-01-10 23:59:59.999989,1186.19,1194.78,1184.8,1190.25,1490400000.0,0.0,MomentumStrategy,6,731956.9999999999,MACD,6,,,CrossOver,6,,CrossDown,6,,ATR,6,,SMA,6,,Broker,6,100000.0,100000.0,BuySell,6,,,Trades,6,,
7,spx-1950-2018,7,2005-01-11 23:59:59.999989,1190.25,1190.25,1180.43,1182.99,1488800000.0,0.0,MomentumStrategy,7,731957.9999999999,MACD,7,,,CrossOver,7,,CrossDown,7,,ATR,7,,SMA,7,,Broker,7,100000.0,100000.0,BuySell,7,,,Trades,7,,
8,spx-1950-2018,8,2005-01-12 23:59:59.999989,1182.99,1187.92,1175.64,1187.7,1562100000.0,0.0,MomentumStrategy,8,731958.9999999999,MACD,8,,,CrossOver,8,,CrossDown,8,,ATR,8,,SMA,8,,Broker,8,100000.0,100000.0,BuySell,8,,,Trades,8,,
9,spx-1950-2018,9,2005-01-13 23:59:59.999989,1187.7,1187.7,1175.81,1177.45,1510300000.0,0.0,MomentumStrategy,9,731959.9999999999,MACD,9,,,CrossOver,9,,CrossDown,9,,ATR,9,,SMA,9,,Broker,9,100000.0,100000.0,BuySell,9,,,Trades,9,,
10,spx-1950-2018,10,2005-01-14 23:59:59.999989,1177.45,1185.21,1177.45,1184.52,1335400000.0,0.0,MomentumStrategy,10,731960.9999999999,MACD,10,,,CrossOver,10,,CrossDown,10,,ATR,10,,SMA,10,,Broker,10,100000.0,100000.0,BuySell,10,,,Trades,10,,
