Id,spx-1950-2018,len,datetime,open,high,low,close,volume,openinterest,MeanReversionStrategy,len,datetime,SimpleMovingAverage,len,sma,StdDev,len,stddev,Broker,len,cash,value,BuySell,len,buy,sell,Trades,len,pnlplus,pnlminus
1,spx-1950-2018,1,2011-01-03 23:59:59.999989,1257.62,1276.17,1257.62,1271.87,4286670000.0,0.0,MeanReversionStrategy,1,734140.9999999999,SimpleMovingAverage,1,,StdDev,1,,Broker,1,100000.0,100000.0,BuySell,1,,,Trades,1,,
2,spx-1950-2018,2,2011-01-04 23:59:59.999989,1272.95,1274.12,1262.66,1270.2,4796420000.0,0.0,MeanReversionStrategy,2,734141.9999999999,SimpleMovingAverage,2,,StdDev,2,,Broker,2,100000.0,100000.0,BuySell,2,,,Trades,2,,
3,spx-1950-2018,3,2011-01-05 23:59:59.999989,1268.78,1277.63,1265.36,1276.56,4764920000.0,0.0,MeanReversionStrategy,3,734142.9999999999,SimpleMovingAverage,3,,StdDev,3,,Broker,3,100000.0,100000.0,BuySell,3,,,Trades,3,,
4,spx-1950-2018,4,2011-01-06 23:59:59.999989,1276.29,1278.17,1270.43,1273.85,4844100000.0,0.0,MeanReversionStrategy,4,734143.9999999999,SimpleMovingAverage,4,,StdDev,4,,Broker,4,100000.0,100000.0,BuySell,4,,,Trades,4,,
5,spx-1950-2018,5,2011-01-07 23:59:59.999989,1274.41,1276.83,1261.7,1271.5,4963110000.0,0.0,MeanReversionStrategy,5,734144.9999999999,SimpleMovingAverage,5,,StdDev,5,,Broker,5,100000.0,100000.0,BuySell,5,,,Trades,5,,
6,spx-1950-2018,6,2011-01-10 23:59:59.999989,1270.84,1271.52,1262.18,1269.75,4036450000.0,0.0,MeanReversionStrategy,6,734147.9999999999,SimpleMovingAverage,6,,StdDev,6,,Broker,6,100000.0,100000.0,BuySell,6,,,Trades,6,,
7,spx-1950-2018,7,2011-01-11 23:59:59.999989,1272.58,1277.25,1269.62,1274.48,4050750000.0,0.0,MeanReversionStrategy,7,734148.9999999999,SimpleMovingAverage,7,,StdDev,7,,Broker,7,100000.0,100000.0,BuySell,7,,,Trades,7,,
8,spx-1950-2018,8,2011-01-12 23:59:59.999989,1275.65,1286.87,1275.65,1285.96,4226940000.0,0.0,MeanReversionStrategy,8,734149.9999999999,SimpleMovingAverage,8,,StdDev,8,,Broker,8,100000.0,100000.0,BuySell,8,,,Trades,8,,
9,spx-1950-2018,9,2011-01-13 23:59:59.999989,1285.78,1286.7,1280.47,1283.76,4310840000.0,0.0,MeanReversionStrategy,9,734150.9999999999,SimpleMovingAverage,9,,StdDev,9,,Broker,9,100000.0,100000.0,BuySell,9,,,Trades,9,,
10,spx-1950-2018,10,2011-01-14 23:59:59.999989,1282.9,1293.24,1281.24,1293.24,4661590000.0,0.0,MeanReversionStrategy,10,734151.9999999999,SimpleMovingAverage,10,,StdDev,10,,Broker,10,100000.0,100000.0,BuySell,10,,,Trades,10,,
11,spx-1950-2018,11,2011-01-18 23:59:59.999989,1293.22,1296.06,1290.16,1295.02,5284990000.0,0.0,MeanReversionStrategy,11,734155.9999999999,SimpleMovingAverage,11,,StdDev,11,,Broker,11,100000.0,100000.0,BuySell,11,,,Trades,11,,
12,spx-1950-2018,12,2011-01-19 23:59:59.999989,1294.52,1294.6,1278.92,1281.92,4743710000.0,0.0,MeanReversionStrategy,12,734156.9999999999,SimpleMovingAverage,12,,StdDev,12,,Broker,12,100000.0,100000.0,BuySell,12,,,Trades,12,,
