Id,spx-1950-2018,len,datetime,open,high,low,close,volume,openinterest,RegimeSwitchingStrategy,len,datetime,MACD,len,macd,signal,CrossOver,len,crossover,CrossDown,len,cross,ATR,len,atr,SMA,len,sma,SimpleMovingAverage,len,sma,StdDev,len,stddev,Broker,len,cash,value,BuySell,len,buy,sell,Trades,len,pnlplus,pnlminus
1,spx-1950-2018,1,2015-01-02 23:59:59.999989,2058.9,2072.36,2046.04,2058.2,2708700000.0,0.0,RegimeSwitchingStrategy,1,735600.9999999999,MACD,1,,,CrossOver,1,,CrossDown,1,,ATR,1,,SMA,1,,SimpleMovingAverage,1,,StdDev,1,,Broker,1,100000.0,100000.0,BuySell,1,,,Trades,1,,
2,spx-1950-2018,2,2015-01-05 23:59:59.999989,2054.44,2054.44,2017.34,2020.58,3799120000.0,0.0,RegimeSwitchingStrategy,2,735603.9999999999,MACD,2,,,CrossOver,2,,CrossDown,2,,ATR,2,,SMA,2,,SimpleMovingAverage,2,,StdDev,2,,Broker,2,100000.0,100000.0,BuySell,2,,,Trades,2,,
3,spx-1950-2018,3,2015-01-06 23:59:59.999989,2022.15,2030.25,1992.44,2002.61,4460110000.0,0.0,RegimeSwitchingStrategy,3,735604.9999999999,MACD,3,,,CrossOver,3,,CrossDown,3,,ATR,3,,SMA,3,,SimpleMovingAverage,3,,StdDev,3,,Broker,3,100000.0,100000.0,BuySell,3,,,Trades,3,,
4,spx-1950-2018,4,2015-01-07 23:59:59.999989,2005.55,2029.61,2005.55,2025.9,3805480000.0,0.0,RegimeSwitchingStrategy,4,735605.9999999999,MACD,4,,,CrossOver,4,,CrossDown,4,,ATR,4,,SMA,4,,SimpleMovingAverage,4,,StdDev,4,,Broker,4,100000.0,100000.0,BuySell,4,,,Trades,4,,
5,spx-1950-2018,5,2015-01-08 23:59:59.999989,2030.61,2064.08,2030.61,2062.14,3934010000.0,0.0,RegimeSwitchingStrategy,5,735606.9999999999,MACD,5,,,CrossOver,5,,CrossDown,5,,ATR,5,,SMA,5,,SimpleMovingAverage,5,,StdDev,5,,Broker,5,100000.0,100000.0,BuySell,5,,,Trades,5,,
6,spx-1950-2018,6,2015-01-09 23:59:59.999989,2063.45,2064.43,2038.33,2044.81,3364140000.0,0.0,RegimeSwitchingStrategy,6,735607.9999999999,MACD,6,,,CrossOver,6,,CrossDown,6,,ATR,6,,SMA,6,,SimpleMovingAverage,6,,StdDev,6,,Broker,6,100000.0,100000.0,BuySell,6,,,Trades,6,,
7,spx-1950-2018,7,2015-01-12 23:59:59.999989,2046.13,2049.3,2022.58,2028.26,3456460000.0,0.0,RegimeSwitchingStrategy,7,735610.9999999999,MACD,7,,,CrossOver,7,,CrossDown,7,,ATR,7,,SMA,7,,SimpleMovingAverage,7,,StdDev,7,,Broker,7,100000.0,100000.0,BuySell,7,,,Trades,7,,
8,spx-1950-2018,8,2015-01-13 23:59:59.999989,2031.58,2056.93,2008.25,2023.03,4107300000.0,0.0,RegimeSwitchingStrategy,8,735611.9999999999,MACD,8,,,CrossOver,8,,CrossDown,8,,ATR,8,,SMA,8,,SimpleMovingAverage,8,,StdDev,8,,Broker,8,100000.0,100000.0,BuySell,8,,,Trades,8,,
9,spx-1950-2018,9,2015-01-14 23:59:59.999989,2018.4,2018.4,1988.44,2011.27,4378680000.0,0.0,RegimeSwitchingStrategy,9,735612.9999999999,MACD,9,,,CrossOver,9,,CrossDown,9,,ATR,9,,SMA,9,,SimpleMovingAverage,9,,StdDev,9,,Broker,9,100000.0,100000.0,BuySell,9,,,Trades,9,,
10,spx-1950-2018,10,2015-01-15 23:59:59.999989,2013.75,2021.35,1991.47,1992.67,4276720000.0,0.0,RegimeSwitchingStrategy,10,735613.9999999999,MACD,10,,,CrossOver,10,,CrossDown,10,,ATR,10,,SMA,10,,SimpleMovingAverage,10,,StdDev,10,,Broker,10,100000.0,100000.0,BuySell,10,,,Trades,10,,
