Id,spx-1950-2018,len,datetime,open,high,low,close,volume,openinterest,RegimeSwitchingStrategy,len,datetime,MACD,len,macd,signal,CrossOver,len,crossover,CrossDown,len,cross,ATR,len,atr,SMA,len,sma,SimpleMovingAverage,len,sma,StdDev,len,stddev,Broker,len,cash,value,BuySell,len,buy,sell,Trades,len,pnlplus,pnlminus
1,spx-1950-2018,1,2004-01-02 23:59:59.999989,1111.92,1118.85,1105.08,1108.48,1153200000.0,0.0,RegimeSwitchingStrategy,1,731582.9999999999,MACD,1,,,CrossOver,1,,CrossDown,1,,ATR,1,,SMA,1,,SimpleMovingAverage,1,,StdDev,1,,Broker,1,100000.0,100000.0,BuySell,1,,,Trades,1,,
2,spx-1950-2018,2,2004-01-05 23:59:59.999989,1108.48,1122.22,1108.48,1122.22,1578200000.0,0.0,RegimeSwitchingStrategy,2,731585.9999999999,MACD,2,,,CrossOver,2,,CrossDown,2,,ATR,2,,SMA,2,,SimpleMovingAverage,2,,StdDev,2,,Broker,2,100000.0,100000.0,BuySell,2,,,Trades,2,,
3,spx-1950-2018,3,2004-01-06 23:59:59.999989,1122.22,1124.46,1118.44,1123.67,1494500000.0,0.0,RegimeSwitchingStrategy,3,731586.9999999999,MACD,3,,,CrossOver,3,,CrossDown,3,,ATR,3,,SMA,3,,SimpleMovingAverage,3,,StdDev,3,,Broker,3,100000.0,100000.0,BuySell,3,,,Trades,3,,
4,spx-1950-2018,4,2004-01-07 23:59:59.999989,1123.67,1126.33,1116.45,1126.33,1704900000.0,0.0,RegimeSwitchingStrategy,4,731587.9999999999,MACD,4,,,CrossOver,4,,CrossDown,4,,ATR,4,,SMA,4,,SimpleMovingAverage,4,,StdDev,4,,Broker,4,100000.0,100000.0,BuySell,4,,,Trades,4,,
5,spx-1950-2018,5,2004-01-08 23:59:59.999989,1126.33,1131.92,1124.91,1131.92,1868400000.0,0.0,RegimeSwitchingStrategy,5,731588.9999999999,MACD,5,,,CrossOver,5,,CrossDown,5,,ATR,5,,SMA,5,,SimpleMovingAverage,5,,StdDev,5,,Broker,5,100000.0,100000.0,BuySell,5,,,Trades,5,,
6,spx-1950-2018,6,2004-01-09 23:59:59.999989,1131.92,1131.92,1120.9,1121.86,1720700000.0,0.0,RegimeSwitchingStrategy,6,731589.9999999999,MACD,6,,,CrossOver,6,,CrossDown,6,,ATR,6,,SMA,6,,SimpleMovingAverage,6,,StdDev,6,,Broker,6,100000.0,100000.0,BuySell,6,,,Trades,6,,
7,spx-1950-2018,7,2004-01-12 23:59:59.999989,1121.86,1127.85,1120.9,1127.23,1510200000.0,0.0,RegimeSwitchingStrategy,7,731592.9999999999,MACD,7,,,CrossOver,7,,CrossDown,7,,ATR,7,,SMA,7,,SimpleMovingAverage,7,,StdDev,7,,Broker,7,100000.0,100000.0,BuySell,7,,,Trades,7,,
8,spx-1950-2018,8,2004-01-13 23:59:59.999989,1127.23,1129.07,1115.19,1121.22,1595900000.0,0.0,RegimeSwitchingStrategy,8,731593.9999999999,MACD,8,,,CrossOver,8,,CrossDown,8,,ATR,8,,SMA,8,,SimpleMovingAverage,8,,StdDev,8,,Broker,8,100000.0,100000.0,BuySell,8,,,Trades,8,,
9,spx-1950-2018,9,2004-01-14 23:59:59.999989,1121.22,1130.75,1121.22,1130.52,1514600000.0,0.0,RegimeSwitchingStrategy,9,731594.9999999999,MACD,9,,,CrossOver,9,,CrossDown,9,,ATR,9,,SMA,9,,SimpleMovingAverage,9,,StdDev,9,,Broker,9,100000.0,100000.0,BuySell,9,,,Trades,9,,
10,spx-1950-2018,10,2004-01-15 23:59:59.999989,1130.52,1137.11,1124.54,1132.05,1695000000.0,0.0,RegimeSwitchingStrategy,10,731595.9999999999,MACD,10,,,CrossOver,10,,CrossDown,10,,ATR,10,,SMA,10,,SimpleMovingAverage,10,,StdDev,10,,Broker,10,100000.0,100000.0,BuySell,10,,,Trades,10,,
11,spx-1950-2018,11,2004-01-16 23:59:59.999989,1132.05,1139.83,1132.05,1139.83,1721100000.0,0.0,RegimeSwitchingStrategy,11,731596.9999999999,MACD,11,,,CrossOver,11,,CrossDown,11,,ATR,11,,SMA,11,,SimpleMovingAverage,11,,StdDev,11,,Broker,11,100000.0,100000.0,BuySell,11,,,Trades,11,,
12,spx-1950-2018,12,2004-01-20 23:59:59.999989,1139.83,1142.93,1135.4,1138.77,1698200000.0,0.0,RegimeSwitchingStrategy,12,731600.9999999999,MACD,12,,,CrossOver,12,,CrossDown,12,,ATR,12,,SMA,12,,SimpleMovingAverage,12,,StdDev,12,,Broker,12,100000.0,100000.0,BuySell,12,,,Trades,12,,
13,spx-1950-2018,13,2004-01-21 23:59:59.999989,1138.77,1149.21,1134.62,1147.62,1757600000.0,0.0,RegimeSwitchingStrategy,13,731601.9999999999,MACD,13,,,CrossOver,13,,CrossDown,13,,ATR,13,,SMA,13,,SimpleMovingAverage,13,,StdDev,13,,Broker,13,100000.0,100000.0,BuySell,13,,,Trades,13,,
14,spx-1950-2018,14,2004-01-22 23:59:59.999989,1147.62,1150.51,1143.01,1143.94,1693700000.0,0.0,RegimeSwitchingStrategy,14,731602.9999999999,MACD,14,,,CrossOver,14,,CrossDown,14,,ATR,14,,SMA,14,,SimpleMovingAverage,14,,StdDev,14,,Broker,14,100000.0,100000.0,BuySell,14,,,Trades,14,,
15,spx-1950-2018,15,2004-01-23 23:59:59.999989,1143.94,1150.31,1136.85,1141.55,1561200000.0,0.0,RegimeSwitchingStrategy,15,731603.9999999999,MACD,15,,,CrossOver,15,,CrossDown,15,,ATR,15,10.104285714285684,SMA,15,,SimpleMovingAverage,15,1130.4806666666666,StdDev,15,10.147654879615748,Broker,15,100000.0,100000.0,BuySell,15,,,Trades,15,,
16,spx-1950-2018,16,2004-01-26 23:59:59.999989,1141.55,1155.38,1141.0,1155.37,1480600000.0,0.0,RegimeSwitchingStrategy,16,731606.9999999999,MACD,16,,,CrossOver,16,,CrossDown,16,,ATR,16,10.409693877551,SMA,16,,SimpleMovingAverage,16,1133.6066666666666,StdDev,16,10.111033357463327,Broker,16,100000.0,100000.0,BuySell,16,,,Trades,16,,
17,spx-1950-2018,17,2004-01-27 23:59:59.999989,1155.37,1155.37,1144.05,1144.05,1673100000.0,0.0,RegimeSwitchingStrategy,17,731607.9999999999,MACD,17,,,CrossOver,17,,CrossDown,17,,ATR,17,10.47471574344021,SMA,17,,SimpleMovingAverage,17,1135.0620000000001,StdDev,17,9.93690776849073,Broker,17,100000.0,100000.0,BuySell,17,,,Trades,17,,
18,spx-1950-2018,18,2004-01-28 23:59:59.999989,1144.05,1149.14,1126.5,1128.48,1842000000.0,0.0,RegimeSwitchingStrategy,18,731608.9999999999,MACD,18,,,CrossOver,18,,CrossDown,18,,ATR,18,11.343664618908775,SMA,18,,SimpleMovingAverage,18,1135.3826666666666,StdDev,18,9.637201161249193,Broker,18,100000.0,100000.0,BuySell,18,,,Trades,18,,
19,spx-1950-2018,19,2004-01-29 23:59:59.999989,1128.48,1134.39,1122.38,1134.11,1921900000.0,0.0,RegimeSwitchingStrategy,19,731609.9999999999,MACD,19,,,CrossOver,19,,CrossDown,19,,ATR,19,11.391260003272434,SMA,19,,SimpleMovingAverage,19,1135.9013333333335,StdDev,19,9.340836412682146,Broker,19,100000.0,100000.0,BuySell,19,,,Trades,19,,
20,spx-1950-2018,20,2004-01-30 23:59:59.999989,1134.11,1134.17,1127.73,1131.13,1635000000.0,0.0,RegimeSwitchingStrategy,20,731610.9999999999,MACD,20,,,CrossOver,20,,CrossDown,20,,ATR,20,11.037598574467264,SMA,20,,SimpleMovingAverage,20,1135.8486666666665,StdDev,20,9.365331007987962,Broker,20,100000.0,100000.0,BuySell,20,,,Trades,20,,
