Id,spx-1950-2018,len,datetime,open,high,low,close,volume,openinterest,MeanReversionStrategy,len,datetime,SimpleMovingAverage,len,sma,StdDev,len,stddev,Broker,len,cash,value,BuySell,len,buy,sell,Trades,len,pnlplus,pnlminus
1,spx-1950-2018,1,2012-01-03 23:59:59.999989,1258.86,1284.62,1258.86,1277.06,3943710000.0,0.0,MeanReversionStrategy,1,734505.9999999999,SimpleMovingAverage,1,,StdDev,1,,Broker,1,100000.0,100000.0,BuySell,1,,,Trades,1,,
2,spx-1950-2018,2,2012-01-04 23:59:59.999989,1277.03,1278.73,1268.1,1277.3,3592580000.0,0.0,MeanReversionStrategy,2,734506.9999999999,SimpleMovingAverage,2,,StdDev,2,,Broker,2,100000.0,100000.0,BuySell,2,,,Trades,2,,
3,spx-1950-2018,3,2012-01-05 23:59:59.999989,1277.3,1283.05,1265.26,1281.06,4315950000.0,0.0,MeanReversionStrategy,3,734507.9999999999,SimpleMovingAverage,3,,StdDev,3,,Broker,3,100000.0,100000.0,BuySell,3,,,Trades,3,,
4,spx-1950-2018,4,2012-01-06 23:59:59.999989,1280.93,1281.84,1273.34,1277.81,3656830000.0,0.0,MeanReversionStrategy,4,734508.9999999999,SimpleMovingAverage,4,,StdDev,4,,Broker,4,100000.0,100000.0,BuySell,4,,,Trades,4,,
5,spx-1950-2018,5,2012-01-09 23:59:59.999989,1277.83,1281.99,1274.55,1280.7,3371600000.0,0.0,MeanReversionStrategy,5,734511.9999999999,SimpleMovingAverage,5,,StdDev,5,,Broker,5,100000.0,100000.0,BuySell,5,,,Trades,5,,
6,spx-1950-2018,6,2012-01-10 23:59:59.999989,1280.77,1296.46,1280.77,1292.08,4221960000.0,0.0,MeanReversionStrategy,6,734512.9999999999,SimpleMovingAverage,6,,StdDev,6,,Broker,6,100000.0,100000.0,BuySell,6,,,Trades,6,,
7,spx-1950-2018,7,2012-01-11 23:59:59.999989,1292.02,1293.8,1285.41,1292.48,3968120000.0,0.0,MeanReversionStrategy,7,734513.9999999999,SimpleMovingAverage,7,,StdDev,7,,Broker,7,100000.0,100000.0,BuySell,7,,,Trades,7,,
8,spx-1950-2018,8,2012-01-12 23:59:59.999989,1292.48,1296.82,1285.77,1295.5,4019890000.0,0.0,MeanReversionStrategy,8,734514.9999999999,SimpleMovingAverage,8,,StdDev,8,,Broker,8,100000.0,100000.0,BuySell,8,,,Trades,8,,
9,spx-1950-2018,9,2012-01-13 23:59:59.999989,1294.82,1294.82,1277.58,1289.09,3692370000.0,0.0,MeanReversionStrategy,9,734515.9999999999,SimpleMovingAverage,9,,StdDev,9,,Broker,9,100000.0,100000.0,BuySell,9,,,Trades,9,,
10,spx-1950-2018,10,2012-01-17 23:59:59.999989,1290.22,1303.0,1290.22,1293.67,4010490000.0,0.0,MeanReversionStrategy,10,734519.9999999999,SimpleMovingAverage,10,,StdDev,10,,Broker,10,100000.0,100000.0,BuySell,10,,,Trades,10,,
11,spx-1950-2018,11,2012-01-18 23:59:59.999989,1293.65,1308.11,1290.99,1308.04,4096160000.0,0.0,MeanReversionStrategy,11,734520.9999999999,SimpleMovingAverage,11,,StdDev,11,,Broker,11,100000.0,100000.0,BuySell,11,,,Trades,11,,
12,spx-1950-2018,12,2012-01-19 23:59:59.999989,1308.07,1315.49,1308.07,1314.5,4465890000.0,0.0,MeanReversionStrategy,12,734521.9999999999,SimpleMovingAverage,12,,StdDev,12,,Broker,12,100000.0,100000.0,BuySell,12,,,Trades,12,,
13,spx-1950-2018,13,2012-01-20 23:59:59.999989,1314.49,1315.38,1309.17,1315.38,3912620000.0,0.0,MeanReversionStrategy,13,734522.9999999999,SimpleMovingAverage,13,,StdDev,13,,Broker,13,100000.0,100000.0,BuySell,13,,,Trades,13,,
14,spx-1950-2018,14,2012-01-23 23:59:59.999989,1315.29,1322.28,1309.89,1316.0,3770910000.0,0.0,MeanReversionStrategy,14,734525.9999999999,SimpleMovingAverage,14,,StdDev,14,,Broker,14,100000.0,100000.0,BuySell,14,,,Trades,14,,
15,spx-1950-2018,15,2012-01-24 23:59:59.999989,1315.96,1315.96,1306.06,1314.65,3693560000.0,0.0,MeanReversionStrategy,15,734526.9999999999,SimpleMovingAverage,15,1295.0213333333334,StdDev,15,14.54652025590223,Broker,15,100000.0,100000.0,BuySell,15,,,Trades,15,,
16,spx-1950-2018,16,2012-01-25 23:59:59.999989,1314.4,1328.3,1307.65,1326.06,4410910000.0,0.0,MeanReversionStrategy,16,734527.9999999999,SimpleMovingAverage,16,1298.288,StdDev,16,15.60927382466578,Broker,16,109998.09835317385,99911.3071920283,BuySell,16,,1314.4,Trades,16,,
17,spx-1950-2018,17,2012-01-26 23:59:59.999989,1326.28,1333.47,1313.6,1318.43,4522070000.0,0.0,MeanReversionStrategy,17,734528.9999999999,SimpleMovingAverage,17,1301.03,StdDev,17,15.290883994499763,Broker,17,109998.09835317385,99969.34545316243,BuySell,17,,,Trades,17,,
18,spx-1950-2018,18,2012-01-27 23:59:59.999989,1318.25,1320.06,1311.72,1316.33,4007380000.0,0.0,MeanReversionStrategy,18,734529.9999999999,SimpleMovingAverage,18,1303.3813333333335,StdDev,18,14.741154575603428,Broker,18,109998.09835317385,99985.31928650211,BuySell,18,,,Trades,18,,
19,spx-1950-2018,19,2012-01-30 23:59:59.999989,1316.16,1316.16,1300.49,1313.01,3659010000.0,0.0,MeanReversionStrategy,19,734532.9999999999,SimpleMovingAverage,19,1305.7279999999998,StdDev,19,13.205403035645455,Broker,19,109998.09835317385,100010.5731563534,BuySell,19,,,Trades,19,,
20,spx-1950-2018,20,2012-01-31 23:59:59.999989,1313.53,1321.41,1306.69,1312.41,4235550000.0,0.0,MeanReversionStrategy,20,734533.9999999999,SimpleMovingAverage,20,1307.842,StdDev,20,11.45121082389032,Broker,20,109998.09835317385,100015.13710873616,BuySell,20,,,Trades,20,,
21,spx-1950-2018,21,2012-02-01 23:59:59.999989,1312.45,1330.52,1312.45,1324.09,4504360000.0,0.0,MeanReversionStrategy,21,734534.9999999999,SimpleMovingAverage,21,1309.9759999999999,StdDev,21,11.296609992981884,Broker,21,109998.09835317385,99926.29216901837,BuySell,21,,,Trades,21,,
22,spx-1950-2018,22,2012-02-02 23:59:59.999989,1324.24,1329.19,1321.57,1325.54,4120920000.0,0.0,MeanReversionStrategy,22,734535.9999999999,SimpleMovingAverage,22,1312.18,StdDev,22,10.8856627420201,Broker,22,109998.09835317385,99915.26261742669,BuySell,22,,,Trades,22,,
