Id,spx-1950-2018,len,datetime,open,high,low,close,volume,openinterest,RegimeSwitchingStrategy,len,datetime,MACD,len,macd,signal,CrossOver,len,crossover,CrossDown,len,cross,ATR,len,atr,SMA,len,sma,SimpleMovingAverage,len,sma,StdDev,len,stddev,Broker,len,cash,value,BuySell,len,buy,sell,Trades,len,pnlplus,pnlminus
1,spx-1950-2018,1,2009-01-02 23:59:59.999989,902.99,934.73,899.35,931.8,4048270000.0,0.0,RegimeSwitchingStrategy,1,733409.9999999999,MACD,1,,,CrossOver,1,,CrossDown,1,,ATR,1,,SMA,1,,SimpleMovingAverage,1,,StdDev,1,,Broker,1,100000.0,100000.0,BuySell,1,,,Trades,1,,
2,spx-1950-2018,2,2009-01-05 23:59:59.999989,929.17,936.63,919.53,927.45,5413910000.0,0.0,RegimeSwitchingStrategy,2,733412.9999999999,MACD,2,,,CrossOver,2,,CrossDown,2,,ATR,2,,SMA,2,,SimpleMovingAverage,2,,StdDev,2,,Broker,2,100000.0,100000.0,BuySell,2,,,Trades,2,,
3,spx-1950-2018,3,2009-01-06 23:59:59.999989,931.17,943.85,927.28,934.7,5392620000.0,0.0,RegimeSwitchingStrategy,3,733413.9999999999,MACD,3,,,CrossOver,3,,CrossDown,3,,ATR,3,,SMA,3,,SimpleMovingAverage,3,,StdDev,3,,Broker,3,100000.0,100000.0,BuySell,3,,,Trades,3,,
4,spx-1950-2018,4,2009-01-07 23:59:59.999989,927.45,927.45,902.37,906.65,4704940000.0,0.0,RegimeSwitchingStrategy,4,733414.9999999999,MACD,4,,,CrossOver,4,,CrossDown,4,,ATR,4,,SMA,4,,SimpleMovingAverage,4,,StdDev,4,,Broker,4,100000.0,100000.0,BuySell,4,,,Trades,4,,
5,spx-1950-2018,5,2009-01-08 23:59:59.999989,905.73,910.0,896.81,909.73,4991550000.0,0.0,RegimeSwitchingStrategy,5,733415.9999999999,MACD,5,,,CrossOver,5,,CrossDown,5,,ATR,5,,SMA,5,,SimpleMovingAverage,5,,StdDev,5,,Broker,5,100000.0,100000.0,BuySell,5,,,Trades,5,,
6,spx-1950-2018,6,2009-01-09 23:59:59.999989,909.91,911.93,888.31,890.35,4716500000.0,0.0,RegimeSwitchingStrategy,6,733416.9999999999,MACD,6,,,CrossOver,6,,CrossDown,6,,ATR,6,,SMA,6,,SimpleMovingAverage,6,,StdDev,6,,Broker,6,100000.0,100000.0,BuySell,6,,,Trades,6,,
7,spx-1950-2018,7,2009-01-12 23:59:59.999989,890.4,890.4,864.32,870.26,4725050000.0,0.0,RegimeSwitchingStrategy,7,733419.9999999999,MACD,7,,,CrossOver,7,,CrossDown,7,,ATR,7,,SMA,7,,SimpleMovingAverage,7,,StdDev,7,,Broker,7,100000.0,100000.0,BuySell,7,,,Trades,7,,
8,spx-1950-2018,8,2009-01-13 23:59:59.999989,869.79,877.02,862.02,871.79,5567460000.0,0.0,RegimeSwitchingStrategy,8,733420.9999999999,MACD,8,,,CrossOver,8,,CrossDown,8,,ATR,8,,SMA,8,,SimpleMovingAverage,8,,StdDev,8,,Broker,8,100000.0,100000.0,BuySell,8,,,Trades,8,,
9,spx-1950-2018,9,2009-01-14 23:59:59.999989,867.28,867.28,836.93,842.62,5407880000.0,0.0,RegimeSwitchingStrategy,9,733421.9999999999,MACD,9,,,CrossOver,9,,CrossDown,9,,ATR,9,,SMA,9,,SimpleMovingAverage,9,,StdDev,9,,Broker,9,100000.0,100000.0,BuySell,9,,,Trades,9,,
10,spx-1950-2018,10,2009-01-15 23:59:59.999989,841.99,851.59,817.04,843.74,7807350000.0,0.0,RegimeSwitchingStrategy,10,733422.9999999999,MACD,10,,,CrossOver,10,,CrossDown,10,,ATR,10,,SMA,10,,SimpleMovingAverage,10,,StdDev,10,,Broker,10,100000.0,100000.0,BuySell,10,,,Trades,10,,
11,spx-1950-2018,11,2009-01-16 23:59:59.999989,844.45,858.13,830.66,850.12,6786040000.0,0.0,RegimeSwitchingStrategy,11,733423.9999999999,MACD,11,,,CrossOver,11,,CrossDown,11,,ATR,11,,SMA,11,,SimpleMovingAverage,11,,StdDev,11,,Broker,11,100000.0,100000.0,BuySell,11,,,Trades,11,,
12,spx-1950-2018,12,2009-01-20 23:59:59.999989,849.64,849.64,804.47,805.22,6375230000.0,0.0,RegimeSwitchingStrategy,12,733427.9999999999,MACD,12,,,CrossOver,12,,CrossDown,12,,ATR,12,,SMA,12,,SimpleMovingAverage,12,,StdDev,12,,Broker,12,100000.0,100000.0,BuySell,12,,,Trades,12,,
13,spx-1950-2018,13,2009-01-21 23:59:59.999989,806.77,841.72,804.3,840.24,6467830000.0,0.0,RegimeSwitchingStrategy,13,733428.9999999999,MACD,13,,,CrossOver,13,,CrossDown,13,,ATR,13,,SMA,13,,SimpleMovingAverage,13,,StdDev,13,,Broker,13,100000.0,100000.0,BuySell,13,,,Trades,13,,
14,spx-1950-2018,14,2009-01-22 23:59:59.999989,839.74,839.74,811.29,827.5,5843830000.0,0.0,RegimeSwitchingStrategy,14,733429.9999999999,MACD,14,,,CrossOver,14,,CrossDown,14,,ATR,14,,SMA,14,,SimpleMovingAverage,14,,StdDev,14,,Broker,14,100000.0,100000.0,BuySell,14,,,Trades,14,,
15,spx-1950-2018,15,2009-01-23 23:59:59.999989,822.16,838.61,806.07,831.95,5832160000.0,0.0,RegimeSwitchingStrategy,15,733430.9999999999,MACD,15,,,CrossOver,15,,CrossDown,15,,ATR,15,27.523571428571447,SMA,15,,SimpleMovingAverage,15,872.2746666666667,StdDev,15,40.610290463816014,Broker,15,100000.0,100000.0,BuySell,15,,,Trades,15,,
16,spx-1950-2018,16,2009-01-26 23:59:59.999989,832.5,852.53,827.69,836.57,6039940000.0,0.0,RegimeSwitchingStrategy,16,733433.9999999999,MACD,16,,,CrossOver,16,,CrossDown,16,,ATR,16,27.331887755102052,SMA,16,,SimpleMovingAverage,16,865.9259999999999,StdDev,16,38.179322291875735,Broker,16,100000.0,100000.0,BuySell,16,,,Trades,16,,
17,spx-1950-2018,17,2009-01-27 23:59:59.999989,837.3,850.45,835.4,845.71,5353260000.0,0.0,RegimeSwitchingStrategy,17,733434.9999999999,MACD,17,,,CrossOver,17,,CrossDown,17,,ATR,17,26.454610058309054,SMA,17,,SimpleMovingAverage,17,860.4766666666667,StdDev,17,34.682334920757846,Broker,17,100000.0,100000.0,BuySell,17,,,Trades,17,,
18,spx-1950-2018,18,2009-01-28 23:59:59.999989,845.73,877.86,845.73,874.09,6199180000.0,0.0,RegimeSwitchingStrategy,18,733435.9999999999,MACD,18,,,CrossOver,18,,CrossDown,18,,ATR,18,26.861423625572694,SMA,18,,SimpleMovingAverage,18,856.436,StdDev,18,28.83779945372647,Broker,18,100000.0,100000.0,BuySell,18,,,Trades,18,,
19,spx-1950-2018,19,2009-01-29 23:59:59.999989,868.89,868.89,844.15,845.14,5067060000.0,0.0,RegimeSwitchingStrategy,19,733436.9999999999,MACD,19,,,CrossOver,19,,CrossDown,19,,ATR,19,27.08132193803179,SMA,19,,SimpleMovingAverage,19,852.3353333333333,StdDev,19,25.59713782611206,Broker,19,100000.0,100000.0,BuySell,19,,,Trades,19,,
20,spx-1950-2018,20,2009-01-30 23:59:59.999989,845.69,851.66,821.67,825.88,5350580000.0,0.0,RegimeSwitchingStrategy,20,733437.9999999999,MACD,20,,,CrossOver,20,,CrossDown,20,,ATR,20,27.289084656743807,SMA,20,,SimpleMovingAverage,20,846.7453333333334,StdDev,20,21.237101769203672,Broker,20,100000.0,100000.0,BuySell,20,,,Trades,20,,
21,spx-1950-2018,21,2009-02-02 23:59:59.999989,823.09,830.78,812.87,825.44,5673270000.0,0.0,RegimeSwitchingStrategy,21,733440.9999999999,MACD,21,,,CrossOver,21,,CrossDown,21,,ATR,21,26.619150038404964,SMA,21,,SimpleMovingAverage,21,842.418,StdDev,21,18.324629036720424,Broker,21,100000.0,100000.0,BuySell,21,,,Trades,21,,
