Id,spx-2013-2018,len,datetime,open,high,low,close,volume,openinterest,MeanReversionStrategy,len,datetime,SimpleMovingAverage,len,sma,Broker,len,cash,value,BuySell,len,buy,sell,Trades,len,pnlplus,pnlminus
12,spx-2013-2018,12,2013-02-27 23:59:59.999989,1496.94,1520.08,1494.88,1515.99,3551850000.0,0.0,MeanReversionStrategy,12,734926.9999999999,SimpleMovingAverage,12,,Broker,12,100000.0,100000.0,BuySell,12,,,Trades,12,,
13,spx-2013-2018,13,2013-02-28 23:59:59.999989,1515.99,1525.34,1514.46,1514.68,3912320000.0,0.0,MeanReversionStrategy,13,734927.9999999999,SimpleMovingAverage,13,,Broker,13,100000.0,100000.0,BuySell,13,,,Trades,13,,
14,spx-2013-2018,14,2013-03-01 23:59:59.999989,1514.68,1519.99,1501.48,1518.2,3695610000.0,0.0,MeanReversionStrategy,14,734928.9999999999,SimpleMovingAverage,14,,Broker,14,100000.0,100000.0,BuySell,14,,,Trades,14,,
15,spx-2013-2018,15,2013-03-04 23:59:59.999989,1518.2,1525.27,1512.29,1525.2,3414430000.0,0.0,MeanReversionStrategy,15,734931.9999999999,SimpleMovingAverage,15,,Broker,15,100000.0,100000.0,BuySell,15,,,Trades,15,,
16,spx-2013-2018,16,2013-03-05 23:59:59.999989,1525.2,1543.47,1525.2,1539.79,3610690000.0,0.0,MeanReversionStrategy,16,734932.9999999999,SimpleMovingAverage,16,,Broker,16,100000.0,100000.0,BuySell,16,,,Trades,16,,
17,spx-2013-2018,17,2013-03-06 23:59:59.999989,1539.79,1545.25,1538.11,1541.46,3676890000.0,0.0,MeanReversionStrategy,17,734933.9999999999,SimpleMovingAverage,17,,Broker,17,100000.0,100000.0,BuySell,17,,,Trades,17,,
18,spx-2013-2018,18,2013-03-07 23:59:59.999989,1541.46,1545.78,1541.46,1544.26,3634710000.0,0.0,MeanReversionStrategy,18,734934.9999999999,SimpleMovingAverage,18,,Broker,18,100000.0,100000.0,BuySell,18,,,Trades,18,,
19,spx-2013-2018,19,2013-03-08 23:59:59.999989,1544.26,1552.48,1542.94,1551.18,3652260000.0,0.0,MeanReversionStrategy,19,734935.9999999999,SimpleMovingAverage,19,,Broker,19,100000.0,100000.0,BuySell,19,,,Trades,19,,
20,spx-2013-2018,20,2013-03-11 23:59:59.999989,1551.15,1556.27,1547.36,1556.22,3091080000.0,0.0,MeanReversionStrategy,20,734938.9999999999,SimpleMovingAverage,20,,Broker,20,100000.0,100000.0,BuySell,20,,,Trades,20,,
21,spx-2013-2018,21,2013-03-12 23:59:59.999989,1556.22,1556.77,1548.24,1552.48,3274910000.0,0.0,MeanReversionStrategy,21,734939.9999999999,SimpleMovingAverage,21,,Broker,21,100000.0,100000.0,BuySell,21,,,Trades,21,,
22,spx-2013-2018,22,2013-03-13 23:59:59.999989,1552.48,1556.39,1548.25,1554.52,3073830000.0,0.0,MeanReversionStrategy,22,734940.9999999999,SimpleMovingAverage,22,,Broker,22,100000.0,100000.0,BuySell,22,,,Trades,22,,
23,spx-2013-2018,23,2013-03-14 23:59:59.999989,1554.52,1563.32,1554.52,1563.23,3459260000.0,0.0,MeanReversionStrategy,23,734941.9999999999,SimpleMovingAverage,23,,Broker,23,100000.0,100000.0,BuySell,23,,,Trades,23,,
24,spx-2013-2018,24,2013-03-15 23:59:59.999989,1563.21,1563.62,1555.74,1560.7,5175850000.0,0.0,MeanReversionStrategy,24,734942.9999999999,SimpleMovingAverage,24,,Broker,24,100000.0,100000.0,BuySell,24,,,Trades,24,,
25,spx-2013-2018,25,2013-03-18 23:59:59.999989,1560.7,1560.7,1545.13,1552.1,3164560000.0,0.0,MeanReversionStrategy,25,734945.9999999999,SimpleMovingAverage,25,,Broker,25,100000.0,100000.0,BuySell,25,,,Trades,25,,
26,spx-2013-2018,26,2013-03-19 23:59:59.999989,1552.1,1557.25,1538.57,1548.34,3796210000.0,0.0,MeanReversionStrategy,26,734946.9999999999,SimpleMovingAverage,26,,Broker,26,100000.0,100000.0,BuySell,26,,,Trades,26,,
27,spx-2013-2018,27,2013-03-20 23:59:59.999989,1548.34,1561.56,1548.34,1558.71,3349090000.0,0.0,MeanReversionStrategy,27,734947.9999999999,SimpleMovingAverage,27,,Broker,27,100000.0,100000.0,BuySell,27,,,Trades,27,,
28,spx-2013-2018,28,2013-03-21 23:59:59.999989,1558.71,1558.71,1543.55,1545.8,3243270000.0,0.0,MeanReversionStrategy,28,734948.9999999999,SimpleMovingAverage,28,,Broker,28,100000.0,100000.0,BuySell,28,,,Trades,28,,
29,spx-2013-2018,29,2013-03-22 23:59:59.999989,1545.9,1557.74,1545.9,1556.89,2948380000.0,0.0,MeanReversionStrategy,29,734949.9999999999,SimpleMovingAverage,29,,Broker,29,100000.0,100000.0,BuySell,29,,,Trades,29,,
30,spx-2013-2018,30,2013-03-25 23:59:59.999989,1556.89,1564.91,1546.22,1551.69,3178170000.0,0.0,MeanReversionStrategy,30,734952.9999999999,SimpleMovingAverage,30,,Broker,30,100000.0,100000.0,BuySell,30,,,Trades,30,,
31,spx-2013-2018,31,2013-03-26 23:59:59.999989,1551.69,1563.95,1551.69,1563.77,2869260000.0,0.0,MeanReversionStrategy,31,734953.9999999999,SimpleMovingAverage,31,,Broker,31,100000.0,100000.0,BuySell,31,,,Trades,31,,
32,spx-2013-2018,32,2013-03-27 23:59:59.999989,1563.75,1564.07,1551.9,1562.85,2914210000.0,0.0,MeanReversionStrategy,32,734954.9999999999,SimpleMovingAverage,32,,Broker,32,100000.0,100000.0,BuySell,32,,,Trades,32,,
33,spx-2013-2018,33,2013-03-28 23:59:59.999989,1562.86,1570.28,1561.08,1569.19,3304440000.0,0.0,MeanReversionStrategy,33,734955.9999999999,SimpleMovingAverage,33,,Broker,33,100000.0,100000.0,BuySell,33,,,Trades,33,,
34,spx-2013-2018,34,2013-04-01 23:59:59.999989,1569.18,1570.57,1558.47,1562.17,2753110000.0,0.0,MeanReversionStrategy,34,734959.9999999999,SimpleMovingAverage,34,,Broker,34,100000.0,100000.0,BuySell,34,,,Trades,34,,
35,spx-2013-2018,35,2013-04-02 23:59:59.999989,1562.17,1573.66,1562.17,1570.25,3312160000.0,0.0,MeanReversionStrategy,35,734960.9999999999,SimpleMovingAverage,35,,Broker,35,100000.0,100000.0,BuySell,35,,,Trades,35,,
