Date,XLY,XLF,XLK,XLE,XLV,XLI,XLP,XLB,XLU,mr_wealth,mo_wealth,mr_wealth_cross,mo_wealth_cross
2006-03-31,28.31053,15.970018,18.510579999999997,43.109734,26.074421,26.441587,17.368786,24.662657,20.011536,1000000.0,1000000.0,1000000.0,1000000.0
2006-04-03,28.209604,15.994549,18.619272,43.347473,26.058111,26.535459999999997,17.42766,24.967606,20.037502,1013550.4671141694,995572.8849460894,1008444.4982902121,992994.2376875603
2006-04-04,28.369402,16.166271,18.686155,43.918034000000006,26.090725,26.715396999999996,17.412945,25.005716,20.251703,1013550.4671141694,988528.2932663361,1024706.0810194873,992994.2376875603
2006-04-05,28.554446999999996,16.195709,18.845005,44.639179,26.009192000000002,26.731040999999998,17.449739,25.348793,20.44643,1013550.4671141694,982162.9345227354,1032629.1375665352,992994.2376875603
2006-04-06,28.613306,16.136831,18.828289,44.734261,25.813511,26.691919,17.383507,25.402151,20.193281,1013550.4671141694,980406.7440631695,1015705.7736480432,992994.2376875603
2006-04-07,28.487158,15.984734,18.610909,43.862572,25.503691,26.558940999999997,17.228956,25.013359,19.907675,1013550.4671141694,972095.4147349354,1027170.6840197155,992994.2376875603
2006-04-10,28.445099,16.014175,18.585827,44.694649,25.454757999999998,26.465052000000004,17.251034,25.005716,19.90119,1013550.4671141694,961185.9315097113,1026239.8050744466,992994.2376875603
2006-04-11,28.218006,15.876797,18.418623,44.37767,25.177549,26.418122999999998,17.089117,24.822748,19.674013000000002,1013550.4671141694,966522.4894491872,1028081.1508473362,992994.2376875603
2006-04-12,28.192787,15.911142000000002,18.452057,44.08445,25.348774,26.598055,17.147993,24.990477,19.71945,1013550.4671141694,962187.9892933222,1032430.6746885059,992994.2376875603
2006-04-13,28.260067,15.935672,18.477137,44.227092999999996,25.2917,26.488528999999996,17.118559,25.120079,19.628572,1013550.4671141694,942472.5142045878,1051437.0004617036,992994.2376875603
