Id,spx-2013-2018,len,datetime,open,high,low,close,volume,openinterest,BackTradingStrategy,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,Trades,len,pnlplus,pnlminus
1,spx-2013-2018,1,2013-02-11 23:59:59.999989,1517.93,1518.31,1513.61,1517.01,2684100000.0,0.0,BackTradingStrategy,1,734910.9999999999,Broker,1,100000.0,100000.0,BuySell,1,,,Trades,1,,
2,spx-2013-2018,2,2013-02-12 23:59:59.999989,1517.01,1522.29,1515.61,1519.43,3414370000.0,0.0,BackTradingStrategy,2,734911.9999999999,Broker,2,101517.01,99997.58,BuySell,2,,1517.01,Trades,2,,
3,spx-2013-2018,3,2013-02-13 23:59:59.999989,1519.43,1524.69,1515.93,1520.33,3385880000.0,0.0,BackTradingStrategy,3,734912.9999999999,Broker,3,101517.01,99996.68,BuySell,3,,,Trades,3,,
4,spx-2013-2018,4,2013-02-14 23:59:59.999989,1520.33,1523.14,1514.02,1521.38,3759740000.0,0.0,BackTradingStrategy,4,734913.9999999999,Broker,4,101517.01,99995.62999999999,BuySell,4,,,Trades,4,,
5,spx-2013-2018,5,2013-02-15 23:59:59.999989,1521.38,1524.24,1514.14,1519.79,3838510000.0,0.0,BackTradingStrategy,5,734914.9999999999,Broker,5,101517.01,99997.22,BuySell,5,,,Trades,5,,
6,spx-2013-2018,6,2013-02-19 23:59:59.999989,1519.79,1530.94,1519.79,1530.94,3748910000.0,0.0,BackTradingStrategy,6,734918.9999999999,Broker,6,101517.01,99986.06999999999,BuySell,6,,,Trades,6,,
7,spx-2013-2018,7,2013-02-20 23:59:59.999989,1530.94,1530.94,1511.41,1511.95,4240570000.0,0.0,BackTradingStrategy,7,734919.9999999999,Broker,7,101517.01,100005.06,BuySell,7,,,Trades,7,,
8,spx-2013-2018,8,2013-02-21 23:59:59.999989,1511.95,1511.95,1497.29,1502.42,4274600000.0,0.0,BackTradingStrategy,8,734920.9999999999,Broker,8,101517.01,100014.59,BuySell,8,,,Trades,8,,
9,spx-2013-2018,9,2013-02-22 23:59:59.999989,1502.42,1515.64,1502.42,1515.6,3419320000.0,0.0,BackTradingStrategy,9,734921.9999999999,Broker,9,101517.01,100001.40999999999,BuySell,9,,,Trades,9,,
10,spx-2013-2018,10,2013-02-25 23:59:59.999989,1515.6,1525.84,1487.85,1487.85,4011050000.0,0.0,BackTradingStrategy,10,734924.9999999999,Broker,10,101517.01,100029.15999999999,BuySell,10,,,Trades,10,,
11,spx-2013-2018,11,2013-02-26 23:59:59.999989,1487.85,1498.99,1485.01,1496.94,3975280000.0,0.0,BackTradingStrategy,11,734925.9999999999,Broker,11,101517.01,100020.06999999999,BuySell,11,,,Trades,11,,
12,spx-2013-2018,12,2013-02-27 23:59:59.999989,1496.94,1520.08,1494.88,1515.99,3551850000.0,0.0,BackTradingStrategy,12,734926.9999999999,Broker,12,101517.01,100001.01999999999,BuySell,12,,,Trades,12,,
13,spx-2013-2018,13,2013-02-28 23:59:59.999989,1515.99,1525.34,1514.46,1514.68,3912320000.0,0.0,BackTradingStrategy,13,734927.9999999999,Broker,13,101517.01,100002.33,BuySell,13,,,Trades,13,,
14,spx-2013-2018,14,2013-03-01 23:59:59.999989,1514.68,1519.99,1501.48,1518.2,3695610000.0,0.0,BackTradingStrategy,14,734928.9999999999,Broker,14,101517.01,99998.81,BuySell,14,,,Trades,14,,
15,spx-2013-2018,15,2013-03-04 23:59:59.999989,1518.2,1525.27,1512.29,1525.2,3414430000.0,0.0,BackTradingStrategy,15,734931.9999999999,Broker,15,101517.01,99991.81,BuySell,15,,,Trades,15,,
16,spx-2013-2018,16,2013-03-05 23:59:59.999989,1525.2,1543.47,1525.2,1539.79,3610690000.0,0.0,BackTradingStrategy,16,734932.9999999999,Broker,16,101517.01,99977.22,BuySell,16,,,Trades,16,,
17,spx-2013-2018,17,2013-03-06 23:59:59.999989,1539.79,1545.25,1538.11,1541.46,3676890000.0,0.0,BackTradingStrategy,17,734933.9999999999,Broker,17,101517.01,99975.54999999999,BuySell,17,,,Trades,17,,
18,spx-2013-2018,18,2013-03-07 23:59:59.999989,1541.46,1545.78,1541.46,1544.26,3634710000.0,0.0,BackTradingStrategy,18,734934.9999999999,Broker,18,101517.01,99972.75,BuySell,18,,,Trades,18,,
19,spx-2013-2018,19,2013-03-08 23:59:59.999989,1544.26,1552.48,1542.94,1551.18,3652260000.0,0.0,BackTradingStrategy,19,734935.9999999999,Broker,19,101517.01,99965.83,BuySell,19,,,Trades,19,,
20,spx-2013-2018,20,2013-03-11 23:59:59.999989,1551.15,1556.27,1547.36,1556.22,3091080000.0,0.0,BackTradingStrategy,20,734938.9999999999,Broker,20,101517.01,99960.79,BuySell,20,,,Trades,20,,
21,spx-2013-2018,21,2013-03-12 23:59:59.999989,1556.22,1556.77,1548.24,1552.48,3274910000.0,0.0,BackTradingStrategy,21,734939.9999999999,Broker,21,101517.01,99964.53,BuySell,21,,,Trades,21,,
22,spx-2013-2018,22,2013-03-13 23:59:59.999989,1552.48,1556.39,1548.25,1554.52,3073830000.0,0.0,BackTradingStrategy,22,734940.9999999999,Broker,22,99964.53,99964.53,BuySell,22,1552.48,,Trades,22,,-35.47000000000003
23,spx-2013-2018,23,2013-03-14 23:59:59.999989,1554.52,1563.32,1554.52,1563.23,3459260000.0,0.0,BackTradingStrategy,23,734941.9999999999,Broker,23,101519.05,99955.82,BuySell,23,,1554.52,Trades,23,,
24,spx-2013-2018,24,2013-03-15 23:59:59.999989,1563.21,1563.62,1555.74,1560.7,5175850000.0,0.0,BackTradingStrategy,24,734942.9999999999,Broker,24,101519.05,99958.35,BuySell,24,,,Trades,24,,
25,spx-2013-2018,25,2013-03-18 23:59:59.999989,1560.7,1560.7,1545.13,1552.1,3164560000.0,0.0,BackTradingStrategy,25,734945.9999999999,Broker,25,101519.05,99966.95,BuySell,25,,,Trades,25,,
26,spx-2013-2018,26,2013-03-19 23:59:59.999989,1552.1,1557.25,1538.57,1548.34,3796210000.0,0.0,BackTradingStrategy,26,734946.9999999999,Broker,26,101519.05,99970.71,BuySell,26,,,Trades,26,,
27,spx-2013-2018,27,2013-03-20 23:59:59.999989,1548.34,1561.56,1548.34,1558.71,3349090000.0,0.0,BackTradingStrategy,27,734947.9999999999,Broker,27,101519.05,99960.34,BuySell,27,,,Trades,27,,
28,spx-2013-2018,28,2013-03-21 23:59:59.999989,1558.71,1558.71,1543.55,1545.8,3243270000.0,0.0,BackTradingStrategy,28,734948.9999999999,Broker,28,101519.05,99973.25,BuySell,28,,,Trades,28,,
29,spx-2013-2018,29,2013-03-22 23:59:59.999989,1545.9,1557.74,1545.9,1556.89,2948380000.0,0.0,BackTradingStrategy,29,734949.9999999999,Broker,29,101519.05,99962.16,BuySell,29,,,Trades,29,,
30,spx-2013-2018,30,2013-03-25 23:59:59.999989,1556.89,1564.91,1546.22,1551.69,3178170000.0,0.0,BackTradingStrategy,30,734952.9999999999,Broker,30,101519.05,99967.36,BuySell,30,,,Trades,30,,
31,spx-2013-2018,31,2013-03-26 23:59:59.999989,1551.69,1563.95,1551.69,1563.77,2869260000.0,0.0,BackTradingStrategy,31,734953.9999999999,Broker,31,101519.05,99955.28,BuySell,31,,,Trades,31,,
32,spx-2013-2018,32,2013-03-27 23:59:59.999989,1563.75,1564.07,1551.9,1562.85,2914210000.0,0.0,BackTradingStrategy,32,734954.9999999999,Broker,32,101519.05,99956.2,BuySell,32,,,Trades,32,,
